c fixed charge multi commodity flow
c
c problem vertices edges commodities
p fcmcf 20 315 200
c
c origin destination demand
k 11 9 71
k 2 9 32
k 11 7 78
k 18 17 40
k 0 11 53
k 6 3 80
k 12 16 57
k 11 12 72
k 5 8 57
k 15 0 73
k 6 19 36
k 2 13 22
k 16 8 93
k 17 7 95
k 13 2 27
k 18 10 37
k 2 14 33
k 12 6 94
k 7 9 19
k 15 6 59
k 19 5 17
k 7 18 91
k 19 13 53
k 0 2 73
k 11 15 55
k 4 7 71
k 9 17 92
k 10 1 32
k 3 17 46
k 19 9 69
k 3 2 27
k 3 10 36
k 9 0 37
k 6 12 13
k 11 16 71
k 3 6 15
k 13 19 48
k 5 6 71
k 4 12 96
k 1 19 30
k 19 8 63
k 13 16 75
k 13 10 13
k 4 16 76
k 6 16 83
k 18 7 24
k 13 14 26
k 15 7 10
k 9 1 27
k 2 0 72
k 4 5 18
k 6 18 71
k 12 19 47
k 12 5 15
k 12 7 92
k 19 2 17
k 2 5 58
k 8 19 24
k 19 6 69
k 7 19 12
k 16 9 98
k 9 4 58
k 17 0 63
k 8 4 56
k 13 8 48
k 0 6 86
k 0 9 31
k 12 15 78
k 4 11 20
k 5 15 78
k 8 5 34
k 17 2 92
k 7 0 40
k 10 14 20
k 19 12 43
k 11 18 33
k 6 4 77
k 8 3 69
k 19 0 24
k 1 2 51
k 14 18 63
k 3 15 85
k 5 7 55
k 8 15 51
k 10 9 24
k 14 12 44
k 6 2 74
k 15 14 71
k 7 3 13
k 18 0 32
k 10 7 57
k 6 1 40
k 9 8 30
k 13 12 77
k 13 15 63
k 2 17 85
k 4 10 52
k 12 9 10
k 9 11 35
k 12 8 12
k 8 0 45
k 8 18 94
k 14 3 97
k 16 12 46
k 2 6 74
k 7 11 78
k 2 3 47
k 13 17 28
k 0 16 93
k 6 9 15
k 2 10 59
k 9 19 94
k 14 7 51
k 7 12 36
k 7 2 41
k 10 8 18
k 7 5 44
k 18 14 16
k 0 4 33
k 5 17 87
k 2 11 19
k 19 7 47
k 18 19 65
k 4 2 86
k 11 19 47
k 17 14 35
k 17 16 69
k 12 4 88
k 9 7 60
k 1 16 38
k 6 7 60
k 14 15 31
k 5 3 82
k 1 10 48
k 3 16 11
k 0 12 98
k 18 16 41
k 4 15 29
k 19 16 54
k 15 4 67
k 0 1 87
k 14 2 61
k 2 4 87
k 17 13 33
k 12 3 92
k 1 15 46
k 16 4 78
k 6 10 78
k 2 18 81
k 10 6 50
k 14 9 63
k 15 3 96
k 3 19 66
k 11 5 59
k 8 16 38
k 7 13 72
k 9 2 80
k 12 13 32
k 4 9 58
k 1 3 81
k 0 5 66
k 5 13 62
k 8 6 73
k 5 19 37
k 7 16 93
k 11 0 97
k 3 13 34
k 1 7 11
k 17 4 39
k 3 0 87
k 1 0 35
k 3 14 13
k 11 8 14
k 14 11 77
k 6 13 38
k 1 11 29
k 18 5 71
k 1 17 67
k 18 3 74
k 3 4 60
k 6 11 78
k 18 8 47
k 16 13 31
k 15 5 10
k 14 10 24
k 3 9 46
k 0 19 76
k 10 2 80
k 10 19 19
k 8 10 14
k 9 18 66
k 11 10 92
k 7 1 15
k 10 16 80
k 17 10 97
k 6 14 28
k 4 18 51
k 4 19 26
k 15 1 12
k 16 2 18
c
c source target cost capacity fixed
a 0 1 100 10631 53790
a 0 15 38 101 50563
a 0 10 33 167 39267
a 0 18 60 59 37653
a 0 16 11 125 38191
a 0 13 12 120 41419
a 0 6 84 94 9145
a 0 14 14 140 31199
a 0 19 75 164 25282
a 0 4 71 21 49487
a 0 12 55 121 17213
a 0 11 37 176 12910
a 0 5 21 165 29585
a 0 9 19 77 45184
a 0 17 44 123 46798
a 0 3 48 76 50563
a 0 7 24 118 38191
a 1 2 100 10631 53790
a 1 8 13 180 45184
a 1 10 59 165 20441
a 1 17 96 77 45722
a 1 16 45 145 52177
a 1 11 45 22 25282
a 1 15 18 90 21516
a 1 9 96 114 42495
a 1 7 70 44 30661
a 1 6 23 70 49487
a 1 5 29 92 38191
a 1 13 17 118 12372
a 1 12 73 131 34426
a 1 19 22 176 16675
a 1 4 36 94 26358
a 1 0 21 164 8607
a 1 14 67 76 23668
a 2 3 100 10631 53790
a 2 0 31 94 17751
a 2 6 59 123 20979
a 2 14 18 24 36040
a 2 11 56 149 25282
a 2 16 25 26 10758
a 2 19 23 145 15600
a 2 1 12 28 39805
a 2 4 17 98 23668
a 2 8 67 92 20441
a 2 9 72 129 22054
a 2 10 44 41 37116
a 2 12 72 114 7531
