c fixed charge multi commodity flow
c
c problem vertices edges commodities
p fcmcf 30 520 400
c
c origin destination demand
k 3 22 71
k 18 16 19
k 18 19 24
k 5 14 57
k 15 28 49
k 8 7 38
k 10 5 49
k 4 11 41
k 4 8 74
k 28 1 23
k 14 8 41
k 5 1 20
k 0 29 37
k 16 28 21
k 25 1 58
k 20 14 46
k 1 15 45
k 18 3 55
k 21 4 59
k 23 1 44
k 26 14 40
k 29 9 52
k 19 24 56
k 25 15 18
k 24 18 53
k 4 14 32
k 10 3 62
k 0 28 38
k 12 5 43
k 17 14 71
k 21 12 18
k 22 14 53
k 24 27 37
k 12 19 31
k 3 18 34
k 5 11 70
k 22 29 28
k 7 20 53
k 17 29 48
k 18 9 27
k 16 5 57
k 17 26 49
k 20 23 30
k 22 15 33
k 11 27 34
k 4 26 58
k 22 2 61
k 16 8 54
k 8 15 19
k 6 25 27
k 6 12 71
k 8 17 28
k 21 18 58
k 26 6 30
k 7 13 34
k 15 6 28
k 1 28 52
k 24 4 72
k 16 13 44
k 17 13 21
k 1 14 71
k 6 17 53
k 4 2 33
k 19 8 38
k 27 2 53
k 10 17 54
k 27 16 39
k 1 24 73
k 8 27 54
k 24 14 73
k 0 13 51
k 15 25 61
k 6 26 53
k 24 26 70
k 5 22 43
k 7 25 29
k 28 24 20
k 17 3 17
k 26 15 37
k 16 19 37
k 2 8 55
k 22 1 58
k 25 10 49
k 3 20 30
k 10 13 54
k 16 10 61
k 8 11 28
k 1 4 30
k 10 9 52
k 1 18 73
k 11 19 50
k 3 6 29
k 12 18 71
k 19 6 60
k 9 3 49
k 17 1 36
k 27 24 64
k 26 17 53
k 22 20 39
k 24 9 24
k 21 27 50
k 27 14 31
k 22 3 74
k 26 5 36
k 23 8 74
k 23 9 55
k 3 26 45
k 22 16 66
k 29 10 48
k 26 3 20
k 29 0 18
k 21 0 72
k 29 4 62
k 22 25 70
k 11 18 66
k 10 27 44
k 2 10 46
k 23 29 72
k 10 23 18
k 27 25 51
k 3 0 65
k 27 18 44
k 21 24 47
k 22 6 36
k 14 11 55
k 27 12 69
k 16 20 54
k 23 18 38
k 19 21 51
k 22 5 69
k 24 5 38
k 17 16 56
k 3 8 47
k 16 2 20
k 0 22 68
k 18 10 74
k 0 25 24
k 28 25 41
k 4 9 69
k 21 22 61
k 11 13 40
k 27 10 41
k 18 22 17
k 7 8 30
k 20 27 61
k 19 29 22
k 2 16 62
k 19 28 48
k 11 23 60
k 9 11 72
k 0 2 18
k 19 3 33
k 25 27 52
k 11 6 15
k 5 10 33
k 6 14 70
k 27 7 18
k 28 9 38
k 15 18 59
k 2 27 53
k 20 0 67
k 11 0 43
k 0 5 20
k 23 4 20
k 7 9 27
k 7 22 24
k 26 24 16
k 23 10 71
k 7 12 73
k 0 16 48
k 10 25 45
k 9 24 61
k 10 28 72
k 5 18 29
k 25 23 15
k 21 23 54
k 5 3 25
k 21 10 45
k 20 11 48
k 27 1 19
k 3 19 43
k 25 2 70
k 15 17 19
k 5 24 24
k 16 4 32
k 16 11 64
k 21 8 42
k 17 7 57
k 0 19 33
k 21 26 54
k 8 14 71
k 1 21 65
k 4 16 58
k 3 15 22
k 17 6 57
k 13 4 37
k 7 24 48
k 21 16 44
k 7 23 68
k 8 3 25
k 22 26 40
k 3 5 40
k 19 22 20
k 28 0 22
k 28 16 49
k 21 19 28
k 8 16 15
k 16 7 39
k 11 24 32
k 14 6 33
k 1 10 40
k 0 24 64
k 6 11 24
k 0 1 73
k 21 15 25
k 24 13 38
k 29 15 58
k 27 23 56
k 3 23 63
k 4 21 25
k 17 5 46
k 23 16 51
k 15 14 34
k 24 12 19
k 13 28 50
k 29 19 24
k 20 28 44
k 1 0 45
k 14 25 62
k 0 21 28
k 19 9 48
k 13 2 24
k 28 7 57
k 13 9 15
k 8 12 57
k 5 16 33
k 0 11 20
k 28 22 50
k 28 6 60
k 13 17 21
k 14 26 27
k 4 13 48
k 23 13 25
k 15 3 51
k 2 11 62
k 21 17 24
k 2 25 36
k 25 18 34
k 25 9 61
k 13 22 73
k 4 23 48
k 14 15 66
k 7 17 39
k 24 1 68
k 19 27 30
k 13 21 66
k 12 23 35
k 27 21 16
k 0 20 37
k 28 13 51
k 18 27 41
k 12 26 49
k 9 29 47
k 3 1 53
k 10 19 20
k 11 10 60
k 25 24 39
k 19 2 44
k 29 3 62
k 2 1 55
k 21 29 59
k 25 4 46
k 2 14 28
k 4 24 25
k 2 22 54
k 9 10 55
k 16 21 56
k 10 22 41
k 6 4 60
k 2 19 74
k 28 5 38
k 28 23 67
k 3 7 50
k 9 5 26
k 10 8 18
k 4 27 71
k 15 10 61
k 1 11 28
k 19 18 29
k 26 12 41
k 14 5 34
k 13 1 50
k 9 7 34
k 17 23 49
k 11 20 29
k 16 0 26
k 28 27 69
k 8 9 56
k 7 29 70
k 21 14 43
k 12 15 25
k 6 15 29
k 16 17 61
k 8 25 47
k 10 4 28
k 4 0 22
k 26 9 45
k 16 25 39
k 22 17 68
k 20 19 24
k 8 28 46
k 6 0 52
k 5 21 64
k 29 16 21
k 26 19 33
k 2 0 19
k 28 4 68
k 1 22 19
k 21 5 38
k 0 9 47
k 22 24 67
k 7 16 60
k 21 1 40
k 26 23 54
k 7 2 65
k 26 10 42
k 5 12 17
k 15 24 45
k 10 26 16
k 10 7 30
k 15 20 61
k 4 5 45
k 7 27 62
k 10 15 53
k 16 3 59
k 5 2 22
k 2 21 57
k 23 5 22
k 1 2 48
k 12 24 57
k 29 13 30
k 17 15 37
k 21 20 64
k 12 6 23
k 4 22 46
k 14 20 74
k 22 12 70
k 16 23 20
k 17 8 42
k 9 27 18
k 16 24 32
k 6 23 27
k 20 25 69
k 21 6 36
k 12 13 25
k 28 12 58
k 24 11 66
k 25 16 21
k 18 20 65
k 21 28 19
k 4 1 41
k 20 1 35
k 3 17 69
k 10 11 53
k 12 16 35
k 15 5 50
k 26 11 28
k 23 20 45
k 16 22 44
k 21 9 42
k 0 12 56
k 2 12 54
k 3 14 18
k 16 26 16
k 13 5 45
k 5 0 55
k 15 26 20
k 10 2 31
k 25 29 40
k 26 8 35
k 17 28 43
k 15 29 67
k 22 8 19
k 27 9 43
k 11 1 26
k 16 18 45
k 28 26 30
k 3 9 25
k 18 0 59
k 13 15 64
k 16 9 20
k 9 4 20
k 16 6 65
k 15 22 34
k 17 12 40
k 28 17 51
k 7 6 66
k 12 14 44
k 18 29 48
k 27 15 36
c
c source target cost capacity fixed
a 0 17 7 612 564
a 0 5 2 374 383
a 0 26 3 157 513
a 0 18 2 545 181
a 0 29 7 637 145
a 0 19 2 687 600
a 0 24 9 279 94
a 0 3 4 640 73
a 0 20 2 220 420
a 0 15 4 182 477
a 0 28 6 532 644
a 0 7 9 300 131
a 1 16 3 272 159
a 1 9 9 354 600
a 1 14 2 310 622
a 1 12 7 462 542
a 1 18 9 373 152
a 1 13 4 612 261
a 1 19 5 393 485
a 1 8 2 655 210
a 1 10 6 644 615
a 1 15 5 189 607
a 1 25 4 417 275
a 1 4 8 163 535
a 1 26 5 412 535
a 1 11 5 685 521
a 1 17 4 722 391
a 2 19 1 682 586
a 2 15 4 681 672
a 2 23 4 513 644
a 2 16 5 244 311
a 2 4 8 558 427
a 2 28 4 647 644
a 2 27 6 639 210
a 2 6 7 626 441
a 2 12 2 373 87
a 2 24 4 155 268
a 2 21 3 520 239
a 2 17 5 723 615
a 2 13 3 374 441
a 2 10 6 437 571
a 2 18 5 415 593
a 2 26 3 580 672
a 2 11 9 716 427
a 2 5 8 392 528
a 2 7 9 395 593
a 2 14 9 344 470
a 2 3 5 561 571
a 2 9 1 182 87
a 2 8 2 360 672
a 2 0 3 507 224
a 3 10 8 440 398
a 3 9 8 456 456
a 3 0 8 680 644
a 3 20 2 317 217
a 3 22 6 469 557
a 3 26 1 496 333
a 3 23 5 325 528
a 3 27 7 234 145
a 3 29 9 440 456
a 3 8 1 227 217
a 3 2 3 370 521
a 3 16 7 659 665
a 3 12 2 148 521
a 4 11 6 291 369
a 4 1 2 329 203
a 4 29 4 439 636
a 4 18 6 550 87
a 4 12 1 700 188
a 4 21 5 685 636
a 4 3 5 713 268
a 4 9 7 176 456
a 4 25 6 399 535
a 4 24 9 284 528
a 4 2 6 590 304
a 4 7 1 231 506
a 4 26 4 246 441
a 4 23 6 634 557
a 4 20 3 465 448
a 5 10 9 195 138
a 5 29 5 504 521
a 5 0 8 682 383
a 5 18 8 344 326
a 5 2 8 195 578
a 5 9 5 201 434
a 5 21 5 284 391
a 5 3 2 258 73
a 5 25 6 147 275
a 5 17 2 459 268
a 5 26 5 243 405
a 5 16 9 228 600
a 5 27 1 157 398
a 5 13 4 338 232
a 5 15 5 493 376
a 5 4 1 680 564
a 6 22 9 222 87
a 6 10 6 631 420
a 6 7 8 298 600
a 6 25 5 297 340
a 6 26 8 607 80
a 6 19 5 481 369
a 6 21 9 604 644
a 6 2 7 436 347
a 6 23 5 526 593
a 6 9 4 491 398
a 6 8 9 671 622
a 6 0 3 272 564
a 7 13 4 206 694
a 7 29 6 325 102
a 7 8 7 212 571
a 7 16 8 231 448
a 7 24 6 215 232
a 7 3 5 513 701
a 7 26 9 452 557
a 7 12 7 314 188
a 7 25 3 487 152
a 7 9 2 332 123
a 7 18 6 666 593
a 7 27 3 453 80
a 7 10 1 278 701
a 7 1 7 682 217
a 7 15 7 218 434
a 7 6 7 582 174
a 7 11 6 260 680
a 7 5 7 417 644
a 7 19 6 478 593
a 7 23 7 268 391
a 7 21 4 317 492
a 7 2 2 586 658
a 7 4 4 358 145
a 7 14 1 363 261
a 7 17 4 459 644
a 8 15 2 387 535
a 8 3 6 252 224
a 8 16 6 306 513
a 8 10 3 379 694
a 8 26 6 411 362
a 8 12 6 348 116
a 8 25 8 608 593
a 8 24 7 176 427
a 8 23 6 408 463
a 8 5 1 710 224
a 8 2 9 447 80
a 8 4 6 312 672
a 8 7 8 636 644
a 8 1 8 268 311
a 8 18 6 482 311
a 8 6 6 728 369
a 8 28 1 345 289
a 8 9 3 269 405
a 8 19 3 415 448
a 8 13 1 430 571
a 8 20 2 513 535
a 8 17 6 522 463
a 9 2 4 618 644
a 9 23 5 534 246
a 9 8 8 526 275
a 9 5 5 680 456
a 9 28 9 278 232
a 9 10 2 551 253
a 9 22 2 233 535
a 9 25 7 338 152
a 9 3 5 211 434
a 9 21 9 552 463
a 9 1 9 320 463
a 9 6 6 203 644
a 9 29 6 411 152
a 9 13 6 694 557
a 9 14 4 437 420
a 10 19 2 221 102
a 10 17 4 688 658
a 10 2 1 428 224
a 10 20 3 452 644
a 10 6 8 171 694
a 10 4 8 215 420
a 10 11 2 443 362
a 10 16 7 344 275
a 10 15 1 411 355
a 10 25 8 450 275
a 10 8 7 370 239
a 10 5 2 408 268
a 10 24 5 345 571
a 10 3 5 571 506
a 10 14 4 599 716
a 10 23 5 547 535
a 10 7 9 307 420
a 10 28 9 471 593
a 10 0 2 199 709
a 11 20 8 637 131
a 11 26 9 335 347
a 11 5 4 681 138
a 11 7 4 564 318
a 11 4 8 414 658
a 11 23 1 696 181
a 11 9 2 707 506
a 11 15 8 582 80
a 11 12 6 515 680
a 11 29 2 259 672
a 11 10 7 520 448
a 11 16 6 577 304
a 11 24 1 669 203
a 11 1 7 590 282
a 11 3 1 266 152
a 11 2 6 665 651
