c fixed charge multi commodity flow
c
c problem vertices edges commodities
p fcmcf 30 679 400
c
c origin destination demand
k 17 2 52
k 14 22 28
k 8 1 40
k 4 29 40
k 8 3 51
k 28 17 74
k 1 13 67
k 18 16 21
k 5 19 41
k 17 9 36
k 18 20 50
k 21 8 66
k 20 6 61
k 8 20 32
k 26 24 52
k 12 28 42
k 14 5 16
k 1 21 61
k 2 7 33
k 13 8 56
k 5 9 18
k 5 21 45
k 29 19 74
k 16 6 72
k 24 20 58
k 29 23 56
k 18 29 18
k 9 21 18
k 23 16 57
k 15 19 50
k 7 16 57
k 21 29 71
k 8 12 57
k 13 20 61
k 16 19 37
k 8 15 58
k 11 0 19
k 26 27 58
k 28 24 41
k 5 22 47
k 0 12 66
k 7 24 15
k 16 22 51
k 4 26 41
k 26 4 44
k 4 28 45
k 12 22 53
k 6 16 31
k 22 11 61
k 6 1 25
k 25 16 26
k 19 12 36
k 15 6 45
k 27 6 74
k 0 3 30
k 4 27 51
k 20 0 28
k 8 5 59
k 24 12 56
k 28 18 16
k 4 22 53
k 5 16 31
k 24 3 21
k 25 19 56
k 18 26 48
k 26 23 43
k 27 12 40
k 17 28 51
k 2 22 74
k 18 22 17
k 14 8 41
k 17 6 71
k 23 7 29
k 13 3 27
k 14 13 18
k 9 24 68
k 4 16 72
k 17 16 41
k 16 20 45
k 17 5 28
k 19 8 62
k 1 27 62
k 11 1 54
k 18 14 15
k 27 8 59
k 26 15 44
k 2 29 74
k 27 0 35
k 29 7 66
k 26 2 27
k 24 4 49
k 3 0 71
k 21 14 62
k 16 15 24
k 25 15 62
k 19 0 40
k 5 15 55
k 18 8 38
k 29 18 16
k 3 10 21
k 1 10 53
k 3 7 26
k 25 24 15
k 15 20 31
k 6 22 20
k 28 6 15
k 28 9 19
k 15 8 63
k 25 6 15
k 24 7 69
k 22 9 63
k 1 26 27
k 25 22 39
k 12 17 59
k 1 23 61
k 8 29 52
k 20 24 41
k 21 1 46
k 27 18 27
k 15 1 63
k 11 21 63
k 29 24 74
k 15 23 41
k 13 27 40
k 8 26 67
k 12 6 25
k 14 26 61
k 15 12 18
k 7 22 65
k 24 10 52
k 14 18 50
k 13 23 32
k 1 22 57
k 14 12 36
k 28 21 58
k 11 2 62
k 13 19 58
k 23 9 62
k 28 22 36
k 25 7 70
k 16 0 17
k 20 17 68
k 23 10 19
k 29 21 55
k 15 27 22
k 25 9 71
k 16 3 57
k 27 15 29
k 29 4 59
k 6 15 62
k 6 0 74
k 3 12 43
k 29 16 29
k 28 5 57
k 21 16 40
k 2 23 29
k 12 19 57
k 13 22 61
k 18 5 52
k 13 24 68
k 6 12 29
k 18 17 41
k 16 4 23
k 20 14 18
k 23 2 68
k 21 27 23
k 18 15 43
k 25 18 20
k 10 20 49
k 12 10 56
k 12 23 66
k 23 4 20
k 15 14 17
k 24 18 52
k 29 10 58
k 4 19 70
k 19 15 34
k 3 28 72
k 10 4 33
k 22 29 72
k 24 21 42
k 29 5 21
k 7 13 19
k 1 3 29
k 8 4 53
k 17 19 42
k 22 5 54
k 24 1 55
k 4 18 43
k 5 6 17
k 8 13 56
k 3 19 45
k 27 26 19
k 13 6 38
k 19 11 44
k 15 22 31
k 7 19 32
k 14 17 50
k 8 2 68
k 8 6 44
k 8 14 18
k 0 9 73
k 9 26 27
k 1 2 22
k 26 6 31
k 24 0 24
k 24 26 45
k 25 4 68
k 11 9 65
k 23 17 51
k 10 3 65
k 6 23 70
k 14 23 60
k 0 5 28
k 18 27 27
k 2 10 15
k 4 0 20
k 18 25 58
k 24 15 61
k 8 21 49
k 1 12 54
k 3 6 39
k 5 14 30
k 26 28 45
k 24 6 73
k 6 4 21
k 14 3 50
k 2 15 41
k 4 8 58
k 6 3 33
k 14 7 62
k 19 21 68
k 21 2 26
k 9 7 21
k 13 5 39
k 3 8 41
k 3 26 36
k 21 13 42
k 9 5 69
k 4 5 59
k 2 20 41
k 8 22 34
k 5 1 36
k 7 14 44
k 4 7 59
k 22 12 61
k 9 14 63
k 15 17 17
k 18 11 70
k 23 22 57
k 20 5 27
k 29 6 18
k 25 10 23
