c fixed charge multi commodity flow
c
c problem vertices edges commodities
p fcmcf 20 229 200
c
c origin destination demand
k 6 1 71
k 1 5 57
k 15 2 74
k 8 1 25
k 7 18 67
k 1 4 19
k 4 19 37
k 11 13 37
k 5 3 37
k 5 19 54
k 18 9 18
k 9 1 30
k 17 3 59
k 11 12 27
k 11 17 29
k 4 2 44
k 14 8 35
k 15 8 36
k 3 8 44
k 17 11 70
k 8 16 28
k 9 0 25
k 18 12 35
k 18 16 27
k 10 13 25
k 0 17 52
k 5 8 22
k 10 0 62
k 11 9 15
k 16 0 73
k 6 16 35
k 8 11 30
k 0 1 40
k 13 7 50
k 13 16 49
k 2 9 49
k 15 16 62
k 3 15 61
k 10 1 47
k 6 5 60
k 19 6 59
k 8 4 22
k 18 19 43
k 2 4 34
k 1 7 24
k 2 5 28
k 1 0 63
k 17 5 70
k 12 5 45
k 2 19 44
k 13 17 71
k 8 17 15
k 1 17 53
k 11 8 39
k 9 3 40
k 9 7 43
k 18 15 70
k 16 1 73
k 11 0 19
k 8 2 68
k 19 5 61
k 17 0 36
k 8 6 35
k 12 17 35
k 13 6 50
k 17 12 73
k 19 14 16
k 1 11 26
k 18 6 73
k 13 9 64
k 6 18 35
k 9 16 18
k 15 3 39
k 10 2 25
k 12 4 68
k 13 0 44
k 17 14 31
k 4 10 36
k 11 14 37
k 16 13 71
k 1 10 30
k 1 3 65
k 9 17 66
k 11 18 36
k 15 12 47
k 5 7 72
k 17 1 26
k 17 16 48
k 9 4 68
k 0 15 39
k 16 2 24
k 17 10 15
k 18 1 39
k 1 13 50
k 14 16 70
k 11 1 47
k 16 4 42
k 16 19 28
k 19 2 45
k 19 11 15
k 18 0 46
k 0 7 66
k 13 15 59
k 15 4 24
k 2 8 28
k 5 16 59
k 7 2 37
k 15 7 62
k 4 11 24
k 18 17 16
k 6 14 56
k 19 12 72
k 1 18 43
k 12 15 65
k 17 9 24
k 0 3 69
k 9 19 41
k 4 18 68
k 1 6 25
k 13 10 66
k 4 8 29
k 18 10 41
k 17 7 69
k 13 3 59
k 4 15 15
k 10 6 44
k 18 2 74
k 3 16 20
k 10 16 67
k 14 6 34
k 9 12 51
k 14 12 24
k 2 18 72
k 19 0 41
k 6 12 27
k 19 3 19
k 12 8 50
k 6 15 59
k 9 5 26
k 12 3 41
k 16 11 27
k 8 7 51
k 12 9 65
k 10 18 61
k 3 2 45
k 6 17 50
k 0 12 52
k 9 13 51
k 10 8 30
k 1 9 17
k 2 17 44
k 17 18 23
