c fixed charge multi commodity flow
c
c problem vertices edges commodities
p fcmcf 20 228 200
c
c origin destination demand
k 8 0 58
k 11 3 38
k 2 8 55
k 12 14 56
k 15 16 34
k 17 10 35
k 6 13 47
k 2 13 17
k 1 19 27
k 2 10 60
k 15 2 54
k 11 2 74
k 18 3 18
k 9 8 59
k 2 7 25
k 11 8 46
k 7 16 72
k 14 19 52
k 6 14 64
k 0 13 34
k 9 0 42
k 5 2 49
k 13 9 68
k 1 13 39
k 17 3 26
k 12 6 66
k 5 12 19
k 1 12 30
k 3 17 24
k 8 18 19
k 8 17 34
k 10 7 59
k 7 12 64
k 4 0 53
k 7 6 57
k 7 13 44
k 10 0 56
k 12 18 51
k 17 1 56
k 8 16 60
k 11 18 19
k 8 12 42
k 1 5 45
k 9 19 69
k 11 15 29
k 16 2 68
k 9 12 57
k 16 17 45
k 10 17 16
k 18 5 49
k 5 13 21
k 4 3 45
k 19 3 60
k 17 2 19
k 11 9 20
k 14 13 69
k 0 5 20
k 2 6 63
k 4 13 26
k 3 8 70
k 4 17 34
k 17 4 58
k 10 5 33
k 17 7 23
k 7 10 56
k 2 15 67
k 4 11 25
k 13 14 54
k 17 18 19
k 8 1 40
k 11 12 69
k 5 0 34
k 10 9 16
k 1 15 69
k 18 16 44
k 7 3 19
k 10 15 38
k 5 19 49
k 12 10 72
k 0 14 54
k 15 14 26
k 2 18 57
k 14 0 39
k 14 10 65
k 13 8 53
k 11 0 67
k 12 19 57
k 14 3 27
k 8 5 62
k 11 13 61
k 13 4 51
k 12 0 35
k 15 13 15
k 6 11 23
k 11 19 58
k 2 3 37
k 16 5 62
k 2 11 17
k 16 15 34
k 15 17 66
k 2 16 63
k 18 11 16
k 17 5 32
k 9 4 52
k 7 9 66
k 1 14 31
k 10 18 20
k 10 14 15
k 5 16 27
k 2 19 23
k 8 3 59
k 15 5 61
k 0 9 52
k 14 7 39
k 12 1 34
k 7 18 30
k 19 16 44
k 11 6 59
k 10 4 15
k 2 17 21
k 17 11 40
k 19 18 25
k 5 6 62
k 6 19 28
k 14 2 33
k 10 13 53
k 0 11 61
k 6 7 35
k 2 4 55
k 1 11 38
k 17 12 21
k 1 10 19
k 14 18 40
k 19 0 25
k 6 4 70
k 15 3 71
k 12 11 27
k 8 11 53
k 14 11 20
k 12 17 35
k 5 17 18
k 3 2 22
k 10 2 59
k 3 1 53
k 5 8 67
k 17 8 69
