c fixed charge multi commodity flow
c
c problem vertices edges commodities
p fcmcf 20 291 200
c
c origin destination demand
k 8 17 49
k 19 15 39
k 18 4 50
k 3 16 57
k 0 7 65
k 11 7 16
k 1 6 58
k 4 1 62
k 8 18 27
k 12 9 74
k 3 9 59
k 0 9 28
k 11 5 18
k 7 12 19
k 17 5 57
k 0 12 30
k 18 0 50
k 14 7 71
k 0 4 58
k 11 18 21
k 0 10 61
k 15 11 71
k 15 18 24
k 19 7 24
k 2 12 17
k 19 12 74
k 14 4 43
k 5 19 63
k 10 0 57
k 12 18 20
k 16 2 19
k 2 11 33
k 9 11 65
k 12 15 39
k 17 9 67
k 4 5 56
k 15 7 19
k 19 3 47
k 15 12 25
k 16 4 47
k 18 12 18
k 7 17 39
k 16 12 32
k 6 9 35
k 9 16 64
k 3 5 41
k 6 10 59
k 0 15 53
k 14 1 39
k 19 17 72
k 7 16 49
k 13 1 73
k 11 13 72
k 3 1 57
k 6 5 34
k 3 12 44
k 5 10 30
k 15 4 73
k 13 18 38
k 10 19 16
k 1 10 36
k 0 11 49
k 2 0 21
k 3 11 25
k 15 16 73
k 4 18 58
k 4 9 41
k 1 9 68
k 16 17 44
k 8 2 70
k 8 4 15
k 11 3 64
k 0 17 45
k 14 13 26
k 17 8 53
k 1 19 17
k 17 0 35
k 19 1 74
k 19 18 53
k 5 17 38
k 3 4 45
k 14 0 22
k 3 18 55
k 12 14 15
k 19 6 57
k 1 11 50
k 2 14 25
k 8 16 54
k 17 11 35
k 18 13 22
k 2 5 66
k 4 19 49
k 9 12 33
k 16 9 64
k 14 6 24
k 7 9 22
k 9 2 26
k 3 10 69
k 11 19 29
k 2 9 60
k 4 2 59
k 5 7 70
k 0 5 61
k 11 16 49
k 14 16 28
k 3 17 17
k 5 12 29
k 6 7 35
k 9 19 16
k 16 15 53
k 1 17 68
k 11 17 73
k 16 10 49
k 2 6 52
k 0 16 28
k 2 4 32
k 17 7 49
k 7 8 61
k 15 9 16
k 6 1 17
k 10 4 65
k 15 3 23
k 9 6 41
k 7 18 66
k 13 12 38
k 4 7 45
k 8 9 51
k 3 13 35
k 6 19 63
k 2 13 62
k 6 4 31
k 4 14 43
k 2 3 26
k 15 0 38
k 16 19 48
k 8 5 49
k 14 11 60
k 15 17 20
k 2 1 41
k 7 3 51
k 1 3 63
k 18 15 72
k 6 8 60
k 11 8 57
k 2 18 48
k 0 3 42
k 12 1 23
k 14 2 60
k 17 14 66
k 7 19 32
k 8 15 48
k 15 14 59
k 15 2 35
k 7 1 36
k 19 10 41
k 1 15 74
k 14 10 43
k 17 19 31
k 17 1 41
k 7 6 68
k 11 15 52
k 6 2 42
k 11 12 19
k 11 0 35
k 15 6 31
k 9 3 67
k 16 5 67
k 2 17 31
k 7 14 56
k 13 19 40
k 18 8 72
k 16 6 19
k 13 4 17
k 6 13 16
k 1 7 45
k 16 13 34
k 4 3 62
k 5 11 56
k 14 8 16
k 1 0 55
k 4 11 37
k 18 17 21
k 3 8 65
k 5 18 43
k 19 16 26
k 0 19 69
k 0 13 23
k 19 9 45
k 6 3 51
k 13 9 35
k 18 11 48
k 13 0 63
k 3 14 54
k 3 7 51
k 0 18 69
k 6 16 59
k 2 16 57
k 7 2 17
k 8 19 67
k 15 5 74
c
c source target cost capacity fixed
a 0 7 1 234 1310
a 0 5 7 370 2428
a 0 3 8 294 2428
a 0 8 1 245 1746
a 0 16 1 440 464
a 0 14 7 121 355
a 0 19 5 224 955
a 0 12 7 133 601
a 0 1 7 293 1364
a 0 15 9 164 1064
a 0 18 7 490 1501
a 1 11 2 453 382
a 1 7 1 260 1392
a 1 6 2 159 1582
a 1 4 9 515 601
a 1 10 3 465 519
a 1 19 9 310 437
a 1 3 6 254 1801
a 1 16 9 495 573
a 1 0 5 329 737
a 1 2 9 128 1364
a 1 13 6 118 382
a 1 18 7 235 1228
a 1 14 3 345 655
a 1 15 5 457 2319
a 1 8 7 348 1446
a 1 5 2 253 1992
a 1 12 1 168 546
a 1 17 2 443 491
a 1 9 9 250 1037
a 2 9 8 407 2701
a 2 5 4 396 2264
a 2 16 1 132 2128
a 2 3 6 509 1719
a 2 7 6 149 2373
a 2 6 2 409 273
a 2 14 4 346 846
a 2 1 1 123 2155
a 2 19 3 527 955
a 2 17 3 342 2537
a 2 4 8 224 2483
a 2 8 7 367 1910
a 2 11 2 411 1773
a 2 13 7 187 764
a 3 13 3 517 1773
a 3 18 1 155 437
a 3 9 3 447 1064
a 3 2 1 163 1910
a 3 8 2 207 519
a 3 1 2 388 1773
a 3 10 9 326 1255
a 3 19 3 411 1828
a 3 5 9 128 1364
a 3 4 5 361 573
a 3 0 8 259 2346
a 3 12 7 255 2401
a 3 11 8 493 1337
a 3 16 8 216 1201
a 3 15 9 509 2592
a 3 7 2 199 1419
a 3 6 1 438 1092
a 3 14 6 508 328
a 3 17 8 331 846
a 4 18 1 222 2155
a 4 0 1 185 655
a 4 10 9 155 2592
a 4 14 6 172 273
a 4 19 2 531 846
a 4 1 9 190 2401
a 4 13 4 418 410
a 4 5 7 310 2592
a 4 15 6 330 1201
a 4 16 6 120 2292
a 4 11 8 451 1446
a 4 7 3 294 655
a 5 3 3 190 1937
a 5 14 1 416 1883
a 5 16 7 349 2401
a 5 10 9 225 1201
a 5 12 5 393 2346
a 5 19 1 196 1828
a 5 0 7 193 1582
a 5 6 7 476 2073
a 5 4 8 317 1801
a 5 11 9 182 1419
a 5 8 4 493 2537
a 5 17 2 359 1092
a 5 13 9 406 2210
a 5 9 7 334 2510
a 6 0 8 190 791
a 6 19 8 416 682
a 6 11 1 466 737
a 6 13 9 225 1310
