c fixed charge multi commodity flow
c
c problem vertices edges commodities
p fcmcf 30 518 400
c
c origin destination demand
k 19 2 34
k 11 17 55
k 24 28 64
k 1 5 57
k 11 16 58
k 17 10 72
k 29 7 33
k 18 4 15
k 5 22 33
k 0 9 59
k 3 9 22
k 11 24 49
k 8 6 39
k 27 14 72
k 12 10 50
k 26 9 36
k 19 26 58
k 3 28 19
k 19 24 74
k 10 16 32
k 0 7 30
k 16 27 21
k 3 22 74
k 15 27 66
k 2 7 29
k 14 15 67
k 0 2 59
k 8 26 28
k 12 21 68
k 6 0 62
k 0 1 59
k 8 28 54
k 10 4 36
k 23 11 27
k 20 4 17
k 12 24 43
k 14 12 43
k 4 18 54
k 21 10 57
k 18 11 31
k 28 18 43
k 28 21 71
k 1 13 48
k 16 4 27
k 14 24 39
k 25 0 36
k 19 28 26
k 20 24 55
k 3 7 53
k 20 7 19
k 11 6 24
k 6 9 69
k 29 20 72
k 25 27 64
k 15 8 17
k 1 4 70
k 26 6 46
k 1 9 61
k 13 23 73
k 10 0 19
k 2 18 26
k 26 8 72
k 14 27 23
k 25 17 58
k 26 22 37
k 5 6 46
k 29 11 40
k 11 8 36
k 12 13 34
k 15 3 26
k 18 29 51
k 4 3 28
k 25 22 45
k 15 1 70
k 23 15 52
k 18 8 53
k 16 1 45
k 5 14 26
k 21 19 19
k 4 16 29
k 15 25 31
k 3 11 46
k 7 27 45
k 17 0 53
k 1 8 36
k 29 0 39
k 1 25 26
k 9 18 19
k 28 7 53
k 2 19 38
k 0 15 68
k 0 25 22
k 3 1 20
k 22 9 63
k 27 9 55
k 2 5 30
k 10 17 68
k 10 22 50
k 2 25 40
k 5 10 65
k 15 9 63
k 25 5 16
k 7 22 28
k 27 0 66
k 22 23 53
k 6 12 34
k 2 29 51
k 1 21 46
k 16 3 43
k 10 5 19
k 26 20 49
k 0 19 15
k 1 15 27
k 1 6 52
k 11 20 42
k 9 0 53
k 1 19 24
k 22 17 37
k 14 17 61
k 3 19 43
k 26 12 27
k 8 9 58
k 29 14 48
k 20 0 29
k 12 8 62
k 25 8 16
k 4 11 34
k 8 21 73
k 19 21 47
k 13 22 30
k 24 10 50
k 18 16 49
k 27 28 33
k 1 18 26
k 16 23 51
k 24 29 42
k 27 15 39
k 28 14 74
k 27 12 53
k 24 21 63
k 3 18 41
k 4 1 44
k 29 9 43
k 7 15 54
k 2 17 57
k 20 2 73
k 2 27 69
k 25 23 47
k 7 14 60
k 0 14 59
k 22 20 46
k 29 6 50
k 24 7 55
k 4 12 38
k 4 22 25
k 21 6 59
k 13 24 48
k 20 19 46
k 10 19 64
k 8 3 53
k 2 1 57
k 13 5 67
k 8 7 61
k 20 18 25
k 20 8 30
k 0 4 40
k 0 6 52
k 22 6 18
k 8 11 53
k 25 10 40
k 12 9 18
k 4 19 63
k 16 24 47
k 17 5 28
k 2 26 51
k 11 28 23
k 14 13 64
k 19 12 26
k 1 3 74
k 7 20 48
k 25 1 29
k 23 6 21
k 22 3 46
k 13 10 26
k 24 9 44
k 24 15 42
k 12 20 51
k 22 18 17
k 11 22 61
k 25 20 43
k 18 6 19
k 4 6 15
k 5 15 58
k 29 18 16
k 1 27 31
k 20 13 35
k 18 3 21
k 14 18 65
k 29 23 32
k 6 27 61
k 26 18 31
k 19 13 63
k 15 14 73
k 16 6 33
k 26 29 51
k 15 21 41
k 24 11 46
k 17 1 35
k 24 13 48
k 12 6 18
k 19 1 49
k 19 25 24
k 9 7 69
k 16 9 65
k 10 1 54
k 0 21 49
k 13 1 23
k 15 13 23
k 16 28 72
k 3 16 21
k 2 23 67
k 8 12 32
k 29 12 42
k 14 19 67
k 11 23 72
k 10 28 26
k 16 8 19
k 17 15 24
k 13 17 22
k 8 17 20
k 5 24 45
k 6 4 41
k 13 11 46
k 0 26 62
k 19 3 40
k 20 28 52
k 18 17 35
k 22 29 18
k 5 13 68
k 15 11 63
k 29 2 60
k 18 5 53
k 11 0 17
k 19 14 67
k 18 1 36
k 14 6 47
k 24 4 29
k 29 13 73
k 2 24 28
k 10 8 17
k 24 5 22
k 18 15 33
k 24 27 51
k 16 21 39
k 24 25 38
k 8 20 52
k 4 26 42
k 0 17 17
k 17 8 16
k 21 25 35
k 24 23 56
k 10 25 50
k 4 21 39
k 20 21 16
k 8 18 56
k 15 16 48
k 17 6 61
k 9 24 49
k 9 27 24
k 13 21 37
k 21 26 52
k 21 24 67
k 4 20 55
k 5 25 40
k 0 11 72
k 17 11 37
k 7 4 30
k 15 10 59
k 29 5 52
k 1 12 36
k 2 16 30
k 2 22 47
k 29 3 27
k 3 27 72
k 0 5 56
k 0 28 50
k 18 13 32
k 10 2 58
k 25 13 50
k 20 17 65
k 23 22 62
k 29 10 33
k 17 3 56
k 12 11 34
k 9 6 40
k 16 14 56
k 21 7 23
k 3 29 24
k 24 16 55
k 28 13 15
k 0 27 50
k 3 24 58
k 20 15 39
k 28 0 71
k 19 9 62
k 5 11 59
k 1 10 48
k 25 11 36
k 26 24 55
k 15 19 21
k 24 20 44
k 14 8 71
k 11 25 66
k 7 1 29
k 23 25 48
k 14 1 52
k 19 8 62
k 21 5 31
k 7 13 19
k 25 29 26
k 29 4 22
k 25 14 37
k 7 21 36
k 24 26 63
k 1 11 58
k 25 12 30
k 14 22 42
k 6 29 64
k 25 18 61
k 6 14 49
k 21 4 35
k 11 1 35
k 28 20 60
k 27 2 58
k 1 28 49
k 22 7 74
k 28 9 41
k 6 2 23
k 13 19 49
k 0 22 67
k 16 22 46
k 12 22 31
k 17 9 53
k 28 6 36
k 21 3 38
k 6 20 62
k 17 22 55
k 3 5 65
k 15 12 63
k 17 27 41
k 10 7 74
k 2 10 17
k 26 14 43
k 8 0 53
k 5 3 68
k 22 21 70
k 14 4 63
k 26 23 61
k 15 0 73
k 26 27 67
k 8 22 25
k 3 14 35
k 22 2 48
k 19 17 18
k 22 5 62
k 29 8 17
k 16 26 40
k 6 10 56
k 7 29 71
k 20 25 60
k 21 23 64
k 17 25 70
k 24 0 20
k 19 22 70
k 11 19 59
k 9 25 35
k 29 25 16
k 3 17 44
k 3 12 33
k 7 26 54
k 10 26 71
k 12 7 22
k 25 7 40
k 16 12 74
k 28 23 58
k 16 25 48
k 6 3 56
k 4 8 71
k 14 29 16
k 27 29 63
k 0 13 31
k 23 1 67
k 16 7 71
k 15 6 65
k 15 17 33
k 26 10 74
k 25 21 16
k 15 24 47
k 27 11 65
k 9 23 18
c
c source target cost capacity fixed
a 0 14 8 196 267
a 0 27 1 182 947
a 0 12 7 583 656
a 0 11 7 377 995
a 0 5 4 363 874
a 0 1 9 569 401
a 0 21 6 593 825
a 0 17 7 574 510
a 0 19 9 442 765
a 0 20 2 554 1080
a 0 15 7 256 146
a 0 6 4 482 668
a 0 13 6 136 158
a 0 23 4 273 862
a 0 2 6 396 631
a 0 25 2 289 534
a 0 3 6 508 304
a 1 8 8 243 401
a 1 15 5 475 546
a 1 11 4 376 971
a 1 4 7 289 1129
a 1 5 7 505 862
a 1 0 2 192 182
a 1 10 1 288 983
a 1 23 2 552 352
a 1 22 9 331 1020
a 1 26 4 478 716
a 1 9 6 530 340
a 1 28 2 211 1032
a 1 2 5 201 947
a 1 25 6 488 1104
a 1 19 4 172 498
a 1 16 3 264 656
a 1 14 3 450 1165
a 2 20 1 566 292
a 2 8 2 183 401
a 2 18 3 131 741
a 2 1 1 509 158
a 2 6 1 275 983
a 2 24 6 286 1044
a 2 11 4 310 680
a 2 9 9 310 983
a 2 19 4 580 801
a 2 29 4 293 801
a 2 3 5 209 413
a 2 17 6 201 850
a 2 25 6 170 668
a 2 21 3 430 534
a 2 27 6 264 389
a 2 10 5 389 389
a 2 15 2 134 219
a 3 23 8 467 1153
a 3 22 1 512 304
a 3 27 7 328 1141
a 3 26 5 170 522
a 3 8 5 498 607
a 3 25 2 574 728
a 3 12 4 490 1117
a 3 6 4 577 838
a 3 24 9 502 825
a 3 7 7 370 935
a 3 5 2 318 437
a 3 4 9 473 898
a 3 28 2 557 1044
a 3 29 5 298 741
a 3 1 2 155 474
