c multi commodity flow
c planar50
c
c problem vertices edges commodities
p mcf 50 250 267
c
c origin destination demand
k 0 2 8
k 0 18 5
k 0 20 4
k 0 27 7
k 0 34 9
k 0 35 8
k 0 37 7
k 0 39 7
k 0 42 9
k 0 44 8
k 0 45 7
k 1 3 7
k 1 5 7
k 1 6 4
k 1 18 6
k 1 24 8
k 1 28 5
k 2 1 9
k 2 30 7
k 2 36 5
k 2 42 8
k 2 46 7
k 3 2 6
k 3 18 6
k 3 26 9
k 3 31 7
k 3 33 9
k 3 35 5
k 3 48 7
k 4 10 4
k 4 13 4
k 4 20 7
k 4 25 7
k 4 27 7
k 4 45 9
k 5 16 7
k 5 41 6
k 6 0 6
k 6 12 9
k 6 15 9
k 6 24 9
k 6 38 5
k 6 39 4
k 6 47 8
k 7 43 7
k 7 45 5
k 8 2 5
k 8 24 4
k 8 31 9
k 9 5 9
k 9 8 6
k 9 13 5
k 9 15 7
k 9 36 6
k 9 44 5
k 9 48 7
k 10 21 8
k 10 39 6
k 10 40 6
k 11 1 4
k 11 7 5
k 11 13 8
k 11 18 5
k 11 22 4
k 11 25 4
k 11 27 7
k 11 46 6
k 12 6 7
k 12 40 9
k 13 17 6
k 13 19 6
k 13 20 5
k 13 29 6
k 13 46 5
k 14 2 6
k 14 3 6
k 14 10 9
k 14 18 6
k 14 21 7
k 14 27 8
k 14 29 9
k 14 35 7
k 14 40 5
k 15 8 6
k 15 10 4
k 15 11 6
k 15 18 6
k 15 29 6
k 15 32 9
k 15 49 8
k 16 5 4
k 16 6 5
k 16 15 6
k 17 32 5
k 17 38 6
k 18 1 9
k 18 13 7
k 18 15 8
k 18 17 4
k 18 25 5
k 18 28 4
k 18 30 7
k 18 33 8
k 18 36 5
k 19 16 8
k 19 32 9
k 19 39 5
k 19 47 8
k 20 2 7
k 20 18 9
k 21 13 7
k 21 28 8
k 21 30 6
k 21 31 8
k 21 36 9
k 22 3 9
k 22 6 9
k 22 10 7
k 22 12 4
k 22 26 5
k 22 27 6
k 22 41 9
k 22 42 9
k 22 47 4
k 22 49 9
k 23 6 6
k 23 12 4
k 23 30 9
k 23 35 7
k 23 36 9
k 23 37 9
k 23 38 4
k 24 0 6
k 24 4 8
k 24 18 6
k 24 35 6
k 24 36 6
k 24 38 7
k 24 44 6
k 25 15 8
k 25 20 6
k 25 30 9
k 26 1 7
k 26 16 9
k 26 41 9
k 27 1 7
k 27 19 8
k 27 22 8
k 27 32 5
k 27 36 6
k 27 48 9
k 28 21 9
k 28 27 8
k 28 30 4
k 28 48 8
k 29 1 8
k 29 8 4
k 29 13 8
k 29 32 4
k 29 34 8
k 29 36 9
k 30 28 5
k 30 33 7
k 30 42 5
k 30 43 7
k 30 49 8
k 31 5 5
k 31 12 8
k 31 13 5
k 31 17 8
k 31 22 7
k 31 25 6
k 31 42 6
k 32 5 5
k 32 26 9
k 32 27 6
k 32 46 8
k 33 22 7
k 33 24 5
k 33 27 5
k 33 29 8
k 34 0 7
k 34 8 4
k 34 10 6
k 34 11 7
k 34 12 7
k 34 22 6
k 34 24 9
k 34 39 6
k 34 45 8
k 34 47 8
k 35 28 7
k 35 34 9
k 35 37 5
k 35 38 4
k 35 45 4
k 36 2 6
k 36 6 6
k 36 9 9
k 36 14 9
k 36 22 9
k 36 23 4
k 36 35 6
k 36 48 8
k 37 4 7
k 37 7 9
k 37 25 9
k 38 9 4
k 38 25 8
k 38 33 7
k 38 35 4
k 39 3 6
k 39 12 6
k 39 30 6
k 40 0 4
k 40 22 8
k 40 32 4
k 40 42 9
k 41 31 5
k 41 36 8
k 41 40 7
k 41 47 8
k 42 4 4
k 42 5 4
k 42 18 4
k 42 19 8
k 42 34 4
k 42 47 9
k 42 48 5
k 43 9 4
k 43 16 7
k 43 18 5
k 43 19 4
k 44 20 8
k 44 27 4
k 44 41 4
k 44 42 4
k 45 1 7
k 45 5 8
k 45 18 6
k 45 20 7
k 45 37 6
k 45 41 9
k 45 43 7
k 45 46 4
k 46 2 8
k 46 31 9
k 46 33 7
k 47 3 4
k 47 8 8
