c multi commodity flow
c
c problem vertices edges commodities
p mcf 80 440 543
c
c origin destination demand
k 0 9 7
k 0 18 8
k 0 29 8
k 0 49 9
k 1 2 8
k 1 10 8
k 1 13 4
k 1 14 7
k 1 21 8
k 1 30 5
k 1 33 6
k 1 44 9
k 1 55 9
k 1 57 8
k 1 59 8
k 1 65 7
k 2 5 8
k 2 9 5
k 2 13 4
k 2 24 6
k 2 25 8
k 2 41 9
k 2 43 9
k 2 44 6
k 2 45 5
k 2 47 8
k 2 48 8
k 2 55 5
k 2 71 6
k 3 0 9
k 3 18 7
k 3 20 9
k 3 38 6
k 3 74 7
k 4 7 8
k 4 15 7
k 4 19 7
k 4 23 8
k 4 49 5
k 5 26 7
k 5 50 7
k 5 65 6
k 5 71 6
k 5 77 7
k 6 3 5
k 6 10 9
k 6 18 5
k 6 19 6
k 6 26 4
k 6 30 7
k 6 44 4
k 6 51 7
k 6 57 8
k 6 61 8
k 6 68 8
k 7 33 7
k 7 45 8
k 7 54 8
k 8 12 9
k 8 14 5
k 8 58 9
k 8 64 8
k 8 78 6
k 9 4 6
k 9 5 9
k 9 17 5
k 9 18 6
k 9 22 9
k 9 35 6
k 9 68 6
k 9 70 6
k 10 1 7
k 10 12 9
k 10 20 4
k 10 28 4
k 10 31 8
k 10 46 8
k 10 61 6
k 11 7 5
k 11 18 6
k 11 27 6
k 11 37 4
k 11 39 8
k 11 59 6
k 11 60 5
k 12 5 8
k 12 10 8
k 12 11 4
k 12 14 6
k 12 17 9
k 12 36 6
k 12 38 6
k 12 47 6
k 12 56 5
k 12 64 4
k 12 69 5
k 12 75 5
k 13 12 7
k 13 29 6
k 13 35 8
k 13 40 9
k 13 53 5
k 13 67 6
k 13 73 6
k 13 75 9
k 13 78 7
k 14 6 7
k 14 11 9
k 14 18 4
k 14 19 4
k 14 20 7
k 14 50 6
k 15 4 8
k 15 5 8
k 15 16 5
k 15 67 4
k 15 77 9
k 16 10 4
k 16 15 7
k 16 38 6
k 16 40 5
k 16 57 8
k 16 62 8
k 16 76 6
k 17 20 7
k 17 47 6
k 17 54 4
k 17 59 5
k 17 73 9
k 18 6 5
k 18 10 5
k 18 26 8
k 18 65 7
k 19 14 6
k 19 38 7
k 19 46 9
k 19 54 9
k 20 0 5
k 20 1 9
k 20 10 8
k 20 14 5
k 20 41 4
k 20 54 8
k 21 8 4
k 21 9 7
k 21 24 7
k 21 27 8
k 21 47 4
k 21 58 6
k 21 60 5
k 21 64 7
k 21 79 8
k 22 5 9
k 22 8 9
k 22 19 5
k 22 26 7
k 22 30 5
k 23 8 8
k 23 22 7
k 23 67 9
k 23 68 5
k 24 7 8
k 24 10 8
k 24 37 5
k 24 47 7
k 24 77 4
k 25 14 4
k 25 32 5
k 25 34 7
k 25 59 4
k 25 71 4
k 25 73 5
k 26 3 6
k 26 14 8
k 26 45 5
k 26 60 5
k 27 16 9
k 27 20 4
k 27 35 8
k 27 45 4
k 27 49 6
k 27 71 5
k 28 5 8
k 28 6 9
k 28 60 9
k 28 70 7
k 28 78 5
k 29 8 4
k 29 26 7
k 29 28 9
k 29 38 9
k 29 39 7
k 29 47 6
k 29 69 8
k 29 72 4
k 29 76 7
k 30 3 5
