c multi commodity flow
c
c problem vertices edges commodities
p mcf 400 1520 400
c
c origin destination demand
k 363 121 28
k 156 87 54
k 290 59 16
k 362 110 17
k 171 370 83
k 302 171 99
k 77 369 64
k 123 124 56
k 337 60 50
k 312 25 43
k 261 44 45
k 223 9 17
k 289 226 95
k 258 310 45
k 163 102 89
k 157 308 39
k 399 396 54
k 20 173 49
k 201 87 24
k 2 395 67
k 225 152 78
k 364 299 31
k 95 242 68
k 371 155 90
k 171 193 36
k 0 247 54
k 334 360 97
k 97 169 96
k 299 328 82
k 85 266 32
k 30 153 73
k 216 111 68
k 91 351 15
k 230 0 53
k 47 220 87
k 213 78 57
k 388 366 77
k 276 312 78
k 151 76 89
k 295 148 92
k 109 122 92
k 302 220 47
k 255 285 86
k 47 106 60
k 170 328 55
k 320 378 18
k 109 390 85
k 38 223 40
k 10 298 62
k 133 286 25
k 315 72 94
k 340 215 48
k 333 100 64
k 5 279 82
k 208 20 23
k 120 96 34
k 294 363 55
k 217 268 26
k 289 375 43
k 270 28 91
k 321 311 94
k 160 277 79
k 347 392 85
k 33 90 90
k 1 382 38
k 238 375 98
k 161 3 40
k 396 273 40
k 237 0 11
k 37 209 29
k 310 140 32
k 3 12 45
k 287 52 68
k 26 165 66
k 398 60 16
k 356 373 69
k 97 243 46
k 247 362 59
k 201 168 35
k 65 207 87
k 150 91 50
k 66 289 99
k 264 175 33
k 110 179 32
k 27 116 72
k 37 101 18
k 237 258 15
k 279 382 21
k 310 391 52
k 352 393 96
k 287 293 87
k 338 265 79
k 296 126 66
k 293 284 15
k 344 104 47
k 188 31 34
k 118 399 95
k 181 72 100
k 126 381 93
k 290 234 45
k 163 290 99
k 151 350 58
k 247 115 58
k 101 102 33
k 283 399 51
k 160 262 56
k 45 142 92
k 32 43 83
k 201 90 11
k 131 19 97
k 217 77 76
k 116 360 44
k 145 331 47
k 192 256 96
k 280 325 61
k 226 41 38
k 96 358 14
k 204 45 32
k 134 160 74
k 96 168 27
k 365 213 92
k 333 72 43
k 330 237 33
k 396 391 23
k 8 230 62
k 240 88 28
k 263 114 40
k 319 242 19
k 192 318 100
k 242 358 96
k 91 327 45
k 155 131 53
k 233 126 17
k 6 203 39
k 9 390 97
k 307 226 13
k 201 124 61
k 150 162 87
k 277 285 46
k 9 21 56
k 221 287 27
k 301 80 48
k 18 3 21
k 14 21 86
k 379 28 82
k 180 40 68
k 202 288 15
k 116 344 39
k 135 54 33
k 65 35 26
k 28 363 54
k 156 59 76
k 369 199 91
k 18 124 87
k 105 192 31
k 195 63 76
k 168 302 37
k 211 145 55
k 71 236 39
k 95 131 53
k 257 189 29
k 134 335 36
k 25 279 98
k 184 119 93
k 7 225 38
k 231 340 81
k 224 270 33
k 68 364 57
k 309 91 77
k 150 346 27
k 28 354 99
k 43 79 13
k 46 65 98
k 336 239 21
k 113 261 51
k 177 347 100
k 62 44 15
k 363 98 46
k 183 388 52
k 320 147 63
k 351 197 75
k 349 346 32
k 160 378 24
k 114 6 60
k 365 92 53
k 14 63 31
k 294 314 41
k 251 105 77
k 173 163 21
k 158 179 52
k 189 330 62
k 51 234 21
k 364 394 78
k 307 56 44
k 167 171 88
k 223 23 59
k 15 53 81
