c multi commodity flow
c
c problem vertices edges commodities
p mcf 900 3480 12000
c
c origin destination demand
k 456 67 59
k 374 797 36
k 821 121 42
k 151 824 85
k 268 650 51
k 737 177 74
k 557 516 28
k 447 144 38
k 323 526 17
k 244 333 74
k 212 410 94
k 75 31 96
k 715 597 59
k 559 764 98
k 370 400 87
k 354 92 14
k 375 417 47
k 681 878 17
k 891 43 14
k 54 42 28
k 615 232 57
k 230 443 34
k 141 391 95
k 98 787 54
k 395 154 64
k 442 840 42
k 65 609 49
k 839 838 54
k 181 175 41
k 561 161 19
k 479 306 24
k 127 728 64
k 289 737 94
k 321 849 64
k 609 739 49
k 866 562 67
k 678 386 68
k 806 449 15
k 255 301 47
k 310 672 99
k 679 107 33
k 884 358 27
k 609 874 88
k 374 418 47
k 237 71 37
k 396 437 11
k 707 637 43
k 407 597 61
k 236 201 67
k 101 882 96
k 336 726 20
k 23 6 64
k 804 176 37
k 559 812 28
k 887 431 29
k 421 611 89
k 548 387 50
k 754 572 29
k 564 221 72
k 290 192 86
k 129 364 97
k 429 811 27
k 648 795 96
k 841 388 54
k 527 684 82
k 646 829 69
k 324 334 24
k 753 22 40
k 291 383 63
k 240 55 72
k 366 666 98
k 75 747 20
k 152 378 46
k 682 655 23
k 395 210 46
k 171 265 52
k 361 425 53
k 811 717 37
k 98 617 11
k 763 174 69
k 53 118 69
k 256 338 39
k 831 469 35
k 39 100 43
k 201 462 35
k 216 128 13
k 882 260 54
k 687 665 24
k 531 305 40
k 607 80 25
k 630 108 71
k 839 438 24
k 104 384 79
k 243 820 85
k 69 37 36
k 659 428 66
k 9 262 50
k 875 761 39
k 434 475 92
k 878 381 33
k 770 8 96
k 138 212 86
k 497 193 82
k 605 405 66
k 132 898 62
k 339 536 50
k 172 149 56
k 411 320 57
k 14 791 66
k 139 424 72
k 199 547 47
k 29 337 94
k 395 58 62
k 547 774 38
k 638 493 44
k 251 869 25
k 623 217 24
k 398 438 54
k 453 137 43
k 172 574 89
k 315 355 69
k 124 635 85
k 8 300 38
k 268 340 69
k 539 480 86
k 686 288 86
k 664 364 96
k 650 610 73
k 136 698 78
k 282 81 96
k 593 228 96
k 478 648 52
k 486 849 53
k 894 195 73
k 790 815 24
k 488 662 72
k 72 301 51
k 303 527 49
k 627 819 14
k 212 62 70
k 234 728 44
k 511 36 98
k 497 384 61
k 835 890 32
k 791 783 18
k 119 430 54
k 802 409 17
k 783 690 47
k 598 791 76
k 696 47 30
k 458 67 80
k 373 49 84
k 632 54 42
k 76 214 36
k 328 123 42
k 831 96 39
k 375 420 46
k 838 71 14
k 390 255 19
k 502 775 74
k 366 489 31
k 587 330 43
k 539 655 45
k 559 369 75
k 823 417 11
k 401 40 48
k 124 610 67
k 530 821 73
k 183 788 37
k 767 560 94
k 734 744 72
k 461 410 74
k 568 212 53
k 656 789 95
k 116 730 79
k 832 819 70
k 628 327 53
k 567 555 92
k 655 31 92
k 828 274 30
k 762 354 90
k 2 720 90
k 491 701 100
k 508 683 99
k 273 693 100
k 82 706 17
k 604 0 47
k 251 441 84
k 664 393 74
k 876 888 25
k 435 636 29
k 329 852 82
k 17 806 94
k 556 663 88
k 95 316 23
k 303 523 54
k 770 244 53
