c multi commodity flow
c
c problem vertices edges commodities
p mcf 100 532 1085
c
c origin destination demand
k 0 10 8
k 0 46 6
k 0 51 11
k 0 54 11
k 0 56 11
k 0 64 4
k 0 79 10
k 0 80 8
k 0 83 10
k 0 97 11
k 1 3 8
k 1 15 11
k 1 24 5
k 1 28 3
k 1 34 9
k 1 39 4
k 1 41 5
k 1 42 7
k 1 64 8
k 1 81 6
k 2 15 5
k 2 32 6
k 3 0 6
k 3 8 5
k 3 10 10
k 3 15 5
k 3 24 3
k 3 55 7
k 3 64 5
k 3 94 10
k 4 32 8
k 4 41 7
k 4 45 4
k 4 74 10
k 4 77 7
k 4 82 11
k 4 97 6
k 4 98 9
k 5 6 6
k 5 10 5
k 5 19 4
k 5 22 2
k 5 27 11
k 5 32 11
k 5 36 8
k 5 39 5
k 5 40 5
k 5 51 3
k 5 65 4
k 5 67 6
k 5 92 8
k 6 47 5
k 6 50 4
k 6 66 4
k 6 72 9
k 6 80 4
k 6 86 3
k 6 88 11
k 7 6 6
k 7 33 11
k 7 36 4
k 7 45 8
k 7 48 6
k 7 49 7
k 7 53 3
k 7 55 9
k 7 57 5
k 7 59 7
k 7 72 3
k 7 77 2
k 7 78 2
k 7 87 6
k 7 93 6
k 7 97 7
k 8 1 11
k 8 2 9
k 8 4 9
k 8 27 9
k 8 34 6
k 8 38 4
k 8 41 3
k 8 44 7
k 8 45 5
k 8 51 9
k 8 63 5
k 8 65 4
k 8 81 3
k 8 85 6
k 8 87 4
k 8 95 5
k 9 0 2
k 9 23 10
k 9 24 7
k 9 27 8
k 9 28 4
k 9 40 4
k 9 68 2
k 9 72 2
k 9 83 8
k 10 12 4
k 10 21 9
k 10 25 11
k 10 27 7
k 10 29 6
k 10 40 10
k 10 49 9
k 10 74 9
k 10 86 3
k 10 89 7
k 10 94 2
k 10 99 3
k 11 24 2
k 11 27 3
k 11 37 10
k 11 39 5
k 11 54 10
k 11 74 5
k 11 78 7
k 11 87 9
k 11 99 7
k 12 0 4
k 12 3 10
k 12 5 11
k 12 38 7
k 12 49 5
k 12 64 5
k 12 69 2
k 12 85 9
k 12 86 10
k 12 87 8
k 13 0 4
k 13 3 4
k 13 6 7
k 13 11 6
k 13 14 3
k 13 20 11
k 13 33 2
k 13 35 11
k 13 46 8
k 13 52 9
k 13 55 11
k 13 62 8
k 13 91 10
k 13 96 9
k 14 17 4
k 14 28 7
k 14 75 7
k 14 86 11
k 15 0 9
k 15 10 8
k 15 22 3
k 15 28 3
k 15 58 9
k 15 67 9
k 15 84 3
k 15 90 8
k 15 99 3
k 16 1 5
k 16 11 2
k 16 24 8
k 16 28 2
k 16 29 4
k 16 32 10
k 16 37 5
k 16 64 10
k 16 66 2
k 16 93 7
k 16 94 5
k 17 10 4
k 17 28 10
k 17 29 8
k 17 39 7
k 17 48 5
k 17 73 5
k 17 82 4
k 17 88 3
k 17 91 7
k 17 95 6
k 18 14 5
k 18 27 8
k 18 37 6
k 18 41 10
k 18 51 3
k 18 78 4
k 18 83 6
k 18 91 11
k 18 99 11
k 19 3 4
k 19 17 8
k 19 39 11
k 19 51 10
k 19 55 10
k 19 57 3
k 19 71 8
k 19 78 7
k 19 87 2
k 19 95 3
