c multi commodity flow
c planar500
c
c problem vertices edges commodities
p mcf 500 2842 3525
c
c origin destination demand
k 0 160 8
k 0 270 3
k 0 421 10
k 0 422 10
k 0 424 11
k 0 425 3
k 1 67 6
k 1 124 4
k 1 157 3
k 1 448 5
k 1 455 11
k 2 30 9
k 2 103 3
k 2 263 7
k 2 465 8
k 2 476 4
k 3 133 10
k 3 160 11
k 3 210 11
k 3 369 9
k 3 422 11
k 3 482 5
k 4 6 3
k 4 9 11
k 4 35 11
k 4 86 8
k 4 157 8
k 4 172 11
k 4 195 10
k 4 211 8
k 4 285 9
k 4 418 7
k 4 487 7
k 4 496 9
k 5 39 8
k 5 47 11
k 5 84 3
k 5 93 11
k 5 109 3
k 5 175 6
k 5 200 10
k 5 402 3
k 5 439 6
k 5 444 5
k 5 490 7
k 6 12 11
k 6 193 10
k 6 219 11
k 6 330 8
k 6 346 6
k 6 381 11
k 6 405 7
k 6 434 9
k 6 467 9
k 7 2 10
k 7 312 10
k 7 331 6
k 7 346 8
k 7 440 11
k 8 3 8
k 8 75 3
k 8 78 11
k 8 294 9
k 8 474 3
k 9 73 7
k 9 288 10
k 9 308 10
k 9 310 9
k 9 344 3
k 9 350 10
k 9 355 10
k 9 430 5
k 9 434 5
k 10 11 3
k 10 77 10
k 10 96 8
k 10 187 6
k 10 238 9
k 10 304 9
k 10 333 11
k 11 39 5
k 11 208 5
k 11 242 9
k 11 291 3
k 11 419 4
k 11 440 9
k 12 20 4
k 12 210 8
k 12 313 4
k 13 26 9
k 13 173 11
k 13 400 8
k 13 453 10
k 13 473 8
k 14 312 4
k 14 401 7
k 14 429 11
k 14 456 6
k 14 492 11
k 15 52 8
k 15 78 9
k 15 385 4
k 15 415 7
k 15 423 5
k 16 32 10
k 16 69 5
k 16 75 5
k 16 125 11
k 16 204 9
k 16 266 7
k 16 282 8
k 16 354 5
k 16 385 10
k 16 387 11
k 16 476 6
k 17 67 4
k 17 205 8
k 17 300 5
k 17 401 5
k 17 402 4
k 18 66 5
k 18 240 4
k 18 273 5
k 18 378 6
k 18 394 8
k 18 395 7
k 19 8 10
k 19 98 3
k 19 106 6
k 19 145 6
k 19 149 6
k 19 270 9
k 19 301 5
k 19 335 9
k 19 374 7
k 19 453 8
k 20 30 10
k 20 101 11
k 20 153 4
k 20 175 7
k 20 238 7
k 20 239 11
k 20 275 7
k 20 278 3
k 20 289 7
k 20 309 4
k 20 338 11
k 20 342 7
k 20 362 11
k 20 368 11
k 20 495 6
k 21 4 4
k 21 133 5
k 21 146 5
k 21 150 8
k 21 211 6
k 21 236 8
k 21 305 6
k 21 420 11
k 21 497 5
k 22 146 5
k 22 176 10
k 22 186 4
k 22 233 10
k 22 259 4
k 22 308 4
k 22 384 4
k 22 425 3
k 23 46 9
k 23 71 11
k 23 144 3
k 23 333 9
k 23 390 3
k 24 204 10
k 24 212 7
k 24 263 3
k 24 294 11
k 24 297 6
k 24 319 6
k 24 321 7
k 25 133 5
k 25 163 8
k 25 172 8
k 25 262 7
k 25 453 10
k 26 111 3
k 26 119 6
k 26 145 5
k 26 170 9
k 26 182 10
k 26 246 3
k 26 265 5
k 26 280 6
k 26 486 5
k 27 11 3
k 27 16 9
k 27 40 5
k 27 168 9
k 27 179 9
k 27 188 4
k 27 246 9
k 27 272 4
k 27 367 7
k 27 402 7
k 27 417 6
k 28 58 8
k 28 221 6
k 28 251 9
k 28 254 8
k 28 273 4
k 28 275 10
k 28 376 6
k 28 423 7
k 28 458 5
k 28 481 4
k 28 494 3
k 28 499 9
k 29 20 3
k 29 25 10
k 29 39 7
k 29 203 3
k 29 312 9
k 29 315 11
k 29 323 11
k 30 7 9
k 30 23 4
k 30 95 6
k 30 274 9
k 31 35 8
k 31 190 5
k 31 229 8
k 31 260 10
k 31 332 6
k 31 447 5
k 32 35 3
k 32 50 3
k 32 65 8
k 32 122 11
k 32 302 3
k 32 337 4
k 32 391 4
k 32 394 5
k 32 448 4
k 32 475 8
k 33 15 10
k 33 123 3
k 33 238 11
k 33 305 5
k 33 324 5
k 33 352 3
k 33 424 5
k 33 438 6
k 33 478 7
k 33 487 3
k 34 17 5
k 34 133 7
k 34 173 3
k 34 214 7
k 34 260 10
k 34 340 4
k 34 379 3
k 34 381 6
k 34 427 8
k 35 5 3
k 35 106 10
k 35 203 7
k 35 204 6
k 35 213 5
k 35 269 8
k 35 291 5
k 35 372 7
k 35 445 5
k 36 26 11
k 36 35 7
k 36 133 4
k 36 217 3
k 36 446 11
k 36 461 8
k 37 121 10
k 37 152 10
k 37 332 10
k 37 334 6
k 37 337 11
k 37 365 6
k 37 478 6
k 38 150 10
k 38 285 8
k 38 288 7
k 38 305 8
k 38 404 4
k 38 477 10
k 39 2 11
k 39 245 3
k 39 304 6
k 39 452 8
k 40 134 6
k 40 225 4
k 40 232 11
k 40 278 8
k 40 343 7
k 40 375 9
k 41 43 7
k 41 58 9
k 41 327 10
k 41 348 5
k 41 442 10
k 42 83 10
k 42 120 11
k 42 236 9
k 42 245 7
k 42 379 8
k 42 454 3
k 43 17 9
k 43 190 6
k 43 193 9
k 43 232 11
k 43 268 9
k 43 443 11
k 43 460 10
k 44 137 5
k 44 156 11
k 44 225 6
k 44 250 11
k 44 378 10
k 44 494 10
k 45 63 11
k 45 74 11
k 45 114 3
k 45 225 11
k 45 349 10
k 45 353 11
k 45 474 7
k 45 483 3
k 45 490 4
k 45 495 4
k 46 18 6
k 46 25 5
k 46 27 7
k 46 136 11
k 46 297 10
k 46 423 3
k 46 462 4
k 47 87 10
k 47 162 9
k 47 259 8
k 47 295 10
k 47 401 11
k 47 415 4
k 47 438 3
k 47 450 10
k 47 494 7
k 48 19 9
k 48 115 6
k 48 124 5
k 48 176 3
k 48 239 10
k 48 241 10
k 49 70 8
k 49 117 7
k 49 225 4
k 49 256 7
k 49 284 3
k 49 294 5
k 49 349 8
k 49 455 3
k 50 45 8
k 50 55 3
k 50 58 11
k 50 155 3
k 50 374 7
k 51 25 9
k 51 246 3
k 51 288 3
k 52 72 6
k 52 111 5
k 52 154 7
k 52 346 10
k 53 45 3
k 53 69 10
k 53 109 5
k 53 142 9
k 53 364 6
k 54 51 5
k 54 107 5
k 54 108 7
k 54 127 11
k 54 185 6
k 54 214 4
k 54 226 5
k 54 311 10
k 54 313 4
k 54 315 9
k 54 442 8
k 55 14 9
