c multi commodity flow
c grid6
c
c problem vertices edges commodities
p mcf 225 840 200
c
c origin destination demand
k 74 83 16
k 154 0 87
k 194 19 88
k 86 114 40
k 75 162 42
k 71 149 45
k 99 15 38
k 188 30 33
k 72 31 40
k 79 131 26
k 6 32 18
k 164 70 68
k 63 154 31
k 58 165 47
k 174 125 96
k 147 126 97
k 170 65 29
k 5 221 80
k 21 164 95
k 218 124 23
k 79 44 21
k 8 66 98
k 189 217 79
k 17 93 19
k 57 67 26
k 55 74 46
k 33 136 57
k 29 146 12
k 58 83 72
k 84 162 24
k 151 126 75
k 142 220 81
k 104 4 76
k 91 201 32
k 142 140 49
k 126 81 18
k 220 193 13
k 172 54 85
k 116 58 76
k 164 215 79
k 190 6 42
k 183 103 59
k 115 72 19
k 76 72 73
k 90 39 53
k 146 190 62
k 166 157 50
k 79 215 69
k 78 174 68
k 40 45 19
k 118 2 14
k 136 3 55
k 127 21 66
k 45 168 73
k 114 104 53
k 4 81 36
k 41 178 45
k 141 47 61
k 183 137 90
k 191 204 47
k 217 100 55
k 107 116 95
k 35 23 87
k 81 77 58
k 118 16 21
k 191 46 68
k 16 22 27
k 197 39 42
k 92 199 85
k 109 2 24
k 16 120 92
k 117 64 98
k 128 69 21
k 24 158 20
k 22 188 67
k 154 180 95
k 61 133 75
k 36 157 75
k 199 70 77
k 107 129 61
k 218 223 76
k 33 108 78
k 157 179 64
k 46 9 96
k 30 184 67
k 41 76 96
k 18 173 96
k 44 167 99
k 149 93 20
k 213 110 27
k 219 137 19
k 204 64 81
k 174 67 88
k 155 16 42
k 218 9 77
k 160 6 15
k 12 117 38
k 88 21 52
k 218 127 21
k 66 61 69
k 124 126 37
k 192 186 70
k 8 212 51
k 6 56 90
k 132 151 78
k 169 157 75
k 163 92 33
k 58 151 81
k 38 26 59
k 80 40 92
k 149 173 48
k 206 28 11
k 155 47 19
k 27 170 59
k 151 15 84
k 72 22 49
k 178 109 56
k 156 110 32
k 49 205 32
k 139 207 37
k 17 1 47
k 145 33 33
k 98 49 37
k 170 93 78
k 124 31 38
k 91 119 71
k 124 88 46
k 85 107 84
k 102 172 85
k 160 210 23
k 218 170 22
k 128 107 62
k 96 64 56
k 31 83 74
k 181 56 35
k 193 141 58
k 131 71 56
k 206 107 54
k 27 30 91
k 81 52 17
k 113 128 88
k 141 165 83
k 153 185 57
k 105 222 90
k 160 156 94
k 2 217 52
k 115 121 95
k 13 42 34
k 134 135 32
k 112 151 79
k 224 198 81
k 116 22 31
k 91 28 72
k 141 60 98
k 190 2 31
k 125 56 45
k 57 89 23
k 0 142 94
k 154 144 92
k 59 221 30
k 165 206 59
k 215 45 38
k 126 84 77
k 37 218 28
k 31 149 48
k 130 202 44
k 29 153 44
k 194 11 96
k 186 38 93
k 55 36 74
k 192 16 21
k 2 26 21
k 175 222 51
k 72 92 81
k 202 155 26
k 34 81 19
k 187 91 78
k 45 27 79
k 27 202 78
k 55 147 32
k 157 199 73
k 70 215 50
k 186 29 22
k 73 71 84
k 50 12 70
k 59 2 79
k 157 122 29
k 41 25 29
k 210 163 62
k 183 163 87
k 113 165 52
k 110 153 69
k 108 181 67
k 167 104 83
k 14 17 14
k 60 61 13
k 199 118 81
k 84 63 48
k 22 207 83
k 20 220 23
c
c source target cost capacity
a 0 1 91 223
a 0 15 97 370
a 1 0 95 189
a 1 2 82 225
a 1 16 92 237
a 2 1 85 439
a 2 3 95 502
a 2 17 97 376
a 3 2 93 262
a 3 4 83 229
a 3 18 85 279
a 4 3 99 228
a 4 5 87 197
a 4 19 80 214
a 5 4 85 569
a 5 6 98 398
a 5 20 88 341
a 6 5 93 529
a 6 7 84 511
a 6 21 85 310
a 7 6 81 436
a 7 8 96 244
a 7 22 96 370
a 8 7 88 368
a 8 9 87 281
a 8 23 98 472
a 9 8 84 296
a 9 10 97 505
a 9 24 100 355
a 10 9 83 369
a 10 11 99 303
a 10 25 94 500
a 11 10 88 239
a 11 12 86 484
a 11 26 96 390
a 12 11 83 387
a 12 13 98 463
a 12 27 85 537
a 13 12 93 319
a 13 14 86 354
a 13 28 93 387
a 14 13 94 468
a 14 29 82 351
a 15 0 96 469
a 15 16 91 525
a 15 30 88 237
a 16 1 92 464
a 16 15 98 406
a 16 17 83 336
a 16 31 82 419
a 17 2 88 559
a 17 16 94 343
a 17 18 96 269
a 17 32 94 281
a 18 3 80 368
a 18 17 94 368
a 18 19 86 314
a 18 33 100 576
a 19 4 100 378
a 19 18 94 383
a 19 20 82 229
a 19 34 89 538
a 20 5 98 483
a 20 19 88 256
a 20 21 100 492
a 20 35 89 331
a 21 6 81 471
a 21 20 92 183
a 21 22 98 357
a 21 36 92 414
a 22 7 92 271
a 22 21 92 218
a 22 23 96 461
a 22 37 94 290
a 23 8 99 461
a 23 22 97 556
a 23 24 97 365
a 23 38 92 490
a 24 9 89 548
a 24 23 95 296
a 24 25 82 458
a 24 39 84 276
a 25 10 89 349
a 25 24 99 280
a 25 26 96 232
a 25 40 81 499
a 26 11 94 366
a 26 25 94 549
a 26 27 95 342
a 26 41 80 492
a 27 12 81 477
a 27 26 95 389
a 27 28 94 457
a 27 42 95 461
a 28 13 81 458
a 28 27 88 325
a 28 29 81 323
a 28 43 94 224
a 29 14 80 441
a 29 28 98 425
a 29 44 94 453
a 30 15 80 570
a 30 31 86 424
a 30 45 95 281
a 31 16 82 236
a 31 30 98 502
a 31 32 85 553
a 31 46 81 227
a 32 17 95 308
a 32 31 86 219
a 32 33 91 470
a 32 47 93 351
a 33 18 87 569
a 33 32 96 306
a 33 34 99 260
a 33 48 99 479
a 34 19 89 279
a 34 33 98 189
a 34 35 93 498
a 34 49 87 468
a 35 20 91 437
a 35 34 83 324
a 35 36 85 307
a 35 50 96 405
a 36 21 97 448
a 36 35 96 379
a 36 37 82 547
a 36 51 82 435
a 37 22 84 513
a 37 36 94 263
a 37 38 86 247
a 37 52 100 217
a 38 23 93 522
a 38 37 93 290
a 38 39 96 578
a 38 53 87 543
a 39 24 94 501
a 39 38 87 502
a 39 40 83 508
a 39 54 83 305
a 40 25 96 185
a 40 39 96 256
a 40 41 89 415
a 40 55 83 545
a 41 26 91 365
a 41 40 92 501
a 41 42 92 208
a 41 56 85 385
a 42 27 94 398
a 42 41 94 231
a 42 43 95 235
a 42 57 84 570
a 43 28 83 503
a 43 42 84 363
a 43 44 94 317
a 43 58 89 198
a 44 29 85 454
a 44 43 92 516
a 44 59 85 405
a 45 30 98 402
a 45 46 92 476
a 45 60 99 336
a 46 31 97 573
a 46 45 89 547
a 46 47 84 374
a 46 61 80 446
a 47 32 80 273
a 47 46 97 293
a 47 48 98 281
a 47 62 86 274
a 48 33 94 545
a 48 47 85 301
a 48 49 91 265
a 48 63 84 222
a 49 34 88 308
a 49 48 84 536
a 49 50 81 184
a 49 64 82 244
a 50 35 83 444
a 50 49 86 533
a 50 51 91 218
a 50 65 100 292
a 51 36 83 383
a 51 50 95 186
a 51 52 85 288
a 51 66 80 286
a 52 37 91 495
a 52 51 84 222
a 52 53 86 359
a 52 67 94 286
a 53 38 85 223
a 53 52 85 530
a 53 54 82 267
a 53 68 84 516
a 54 39 97 443
a 54 53 94 293
a 54 55 95 253
a 54 69 81 300
a 55 40 85 386
a 55 54 85 505
a 55 56 100 440
a 55 70 91 389
a 56 41 82 420
a 56 55 80 415
a 56 57 85 453
a 56 71 96 523
a 57 42 83 208
a 57 56 84 473
a 57 58 88 196
a 57 72 88 302
a 58 43 91 361
a 58 57 94 544
a 58 59 86 203
a 58 73 92 426
a 59 44 92 289
a 59 58 93 336
a 59 74 83 571
a 60 45 99 358
a 60 61 86 366
a 60 75 84 422
a 61 46 88 490
a 61 60 86 292
a 61 62 88 331
a 61 76 85 409
a 62 47 94 578
a 62 61 98 266
a 62 63 88 414
a 62 77 94 220
a 63 48 81 444
a 63 62 93 299
a 63 64 98 331
a 63 78 100 243
a 64 49 93 479
a 64 63 87 406
a 64 65 91 228
a 64 79 95 332
a 65 50 100 292
a 65 64 91 354
a 65 66 84 316
a 65 80 97 190
a 66 51 85 412
a 66 65 89 432
a 66 67 93 487
a 66 81 95 324
a 67 52 84 456
a 67 66 82 275
a 67 68 97 235
a 67 82 89 525
a 68 53 88 374
a 68 67 91 232
a 68 69 100 193
a 68 83 86 226
a 69 54 98 407
a 69 68 96 321
a 69 70 88 397
a 69 84 92 519
a 70 55 98 338
a 70 69 94 436
a 70 71 89 185
a 70 85 93 578
a 71 56 82 468
a 71 70 85 480
a 71 72 82 459
a 71 86 98 258
a 72 57 85 535
a 72 71 97 472
a 72 73 96 399
a 72 87 85 428
a 73 58 84 562
a 73 72 85 499
a 73 74 84 566
a 73 88 87 409
a 74 59 81 281
a 74 73 99 576
a 74 89 93 486
a 75 60 86 471
a 75 76 94 316
a 75 90 82 268
a 76 61 85 242
a 76 75 88 349
a 76 77 81 553
a 76 91 81 549
a 77 62 82 576
a 77 76 96 553
a 77 78 98 510
a 77 92 82 549
a 78 63 91 225
a 78 77 92 226
a 78 79 96 312
a 78 93 94 463
a 79 64 86 189
a 79 78 93 309
a 79 80 85 284
a 79 94 88 465
a 80 65 88 459
a 80 79 88 186
a 80 81 88 185
a 80 95 94 521
a 81 66 98 503
a 81 80 87 562
a 81 82 91 482
a 81 96 84 528
a 82 67 81 233
a 82 81 94 341
a 82 83 94 288
a 82 97 97 466
a 83 68 88 363
a 83 82 81 267
a 83 84 100 361
a 83 98 93 423
a 84 69 83 467
a 84 83 83 289
a 84 85 93 203
a 84 99 96 536
a 85 70 97 452
a 85 84 87 208
a 85 86 99 436
a 85 100 82 342
a 86 71 81 558
a 86 85 84 183
a 86 87 94 306
a 86 101 80 371
a 87 72 87 399
a 87 86 82 239
a 87 88 81 287
a 87 102 88 265
a 88 73 93 559
a 88 87 98 555
a 88 89 91 442
a 88 103 97 275
a 89 74 89 445
a 89 88 92 485
a 89 104 93 508
a 90 75 95 397
a 90 91 88 327
a 90 105 93 483
a 91 76 89 354
a 91 90 86 421
a 91 92 91 458
a 91 106 96 484
a 92 77 96 406
a 92 91 80 343
a 92 93 81 407
a 92 107 98 514
a 93 78 100 255
a 93 92 100 409
a 93 94 97 297
a 93 108 80 283
a 94 79 88 259
a 94 93 82 249
a 94 95 80 275
a 94 109 89 331
a 95 80 93 360
a 95 94 85 373
a 95 96 81 324
a 95 110 99 282
a 96 81 100 513
a 96 95 96 279
a 96 97 80 322
a 96 111 97 376
a 97 82 96 557
a 97 96 91 443
a 97 98 91 470
a 97 112 83 232
a 98 83 96 331
a 98 97 94 452
a 98 99 81 396
a 98 113 98 219
a 99 84 96 241
a 99 98 94 546
a 99 100 88 249
a 99 114 87 579
a 100 85 88 304
a 100 99 87 421
a 100 101 92 494
a 100 115 95 481
a 101 86 93 280
a 101 100 97 570
a 101 102 89 522
a 101 116 89 558
a 102 87 87 491
a 102 101 88 410
a 102 103 82 394
a 102 117 97 299
a 103 88 97 353
a 103 102 82 469
a 103 104 96 210
a 103 118 98 241
a 104 89 88 230
a 104 103 84 491
a 104 119 97 250
a 105 90 94 350
a 105 106 81 419
a 105 120 89 320
a 106 91 84 359
a 106 105 91 528
a 106 107 96 484
a 106 121 82 225
a 107 92 89 528
a 107 106 87 223
a 107 108 96 345
a 107 122 89 334
a 108 93 81 353
a 108 107 97 299
a 108 109 98 344
a 108 123 93 236
a 109 94 87 498
a 109 108 100 534
a 109 110 93 485
a 109 124 80 410
a 110 95 89 279
a 110 109 97 302
a 110 111 80 482
a 110 125 86 550
a 111 96 81 469
a 111 110 80 202
a 111 112 84 403
a 111 126 84 445
a 112 97 96 243
a 112 111 96 204
a 112 113 86 350
a 112 127 97 476
a 113 98 95 182
a 113 112 100 466
a 113 114 88 553
a 113 128 99 192
a 114 99 87 231
a 114 113 94 384
a 114 115 94 334
a 114 129 93 437
a 115 100 88 545
a 115 114 96 453
a 115 116 95 504
a 115 130 94 267
a 116 101 97 521
a 116 115 92 476
a 116 117 82 454
a 116 131 80 555
a 117 102 83 327
a 117 116 80 306
a 117 118 88 514
a 117 132 80 307
a 118 103 81 255
a 118 117 91 270
a 118 119 86 417
a 118 133 93 385
a 119 104 81 193
a 119 118 91 246
a 119 134 83 463
a 120 105 91 277
a 120 121 84 545
a 120 135 95 550
a 121 106 83 216
a 121 120 97 193
a 121 122 89 495
a 121 136 80 398
a 122 107 94 523
a 122 121 85 530
a 122 123 88 541
a 122 137 89 299
a 123 108 88 486
a 123 122 98 194
a 123 124 96 409
a 123 138 80 558
a 124 109 95 388
a 124 123 80 214
a 124 125 80 446
a 124 139 83 232
a 125 110 89 199
a 125 124 97 532
a 125 126 92 427
a 125 140 80 314
a 126 111 98 250
a 126 125 85 426
a 126 127 89 275
a 126 141 95 303
a 127 112 81 521
a 127 126 99 414
a 127 128 85 196
a 127 142 93 320
a 128 113 98 325
a 128 127 94 527
a 128 129 91 374
a 128 143 96 343
a 129 114 86 414
a 129 128 95 391
a 129 130 96 503
a 129 144 95 310
a 130 115 88 530
a 130 129 86 393
a 130 131 89 485
a 130 145 93 258
a 131 116 97 383
a 131 130 95 192
a 131 132 81 217
a 131 146 89 271
a 132 117 98 309
a 132 131 86 229
a 132 133 85 554
a 132 147 95 575
a 133 118 83 380
a 133 132 80 510
a 133 134 94 181
a 133 148 85 367
a 134 119 82 212
a 134 133 82 320
a 134 149 88 501
a 135 120 91 533
a 135 136 96 257
a 135 150 94 327
a 136 121 85 445
a 136 135 83 404
a 136 137 95 417
a 136 151 87 344
a 137 122 83 529
a 137 136 82 535
a 137 138 95 365
a 137 152 91 205
a 138 123 80 457
a 138 137 82 452
a 138 139 87 211
a 138 153 99 228
a 139 124 89 393
a 139 138 91 537
a 139 140 81 307
a 139 154 96 314
a 140 125 84 207
a 140 139 91 216
a 140 141 87 414
a 140 155 97 557
a 141 126 99 413
a 141 140 87 400
a 141 142 92 239
a 141 156 96 417
a 142 127 95 309
a 142 141 82 358
a 142 143 84 357
a 142 157 88 529
a 143 128 97 233
a 143 142 91 577
a 143 144 95 323
a 143 158 93 200
a 144 129 100 244
a 144 143 98 563
a 144 145 91 206
a 144 159 94 265
a 145 130 87 542
a 145 144 92 364
a 145 146 89 327
a 145 160 89 359
a 146 131 84 348
a 146 145 81 362
a 146 147 87 243
a 146 161 88 268
a 147 132 95 535
a 147 146 97 497
a 147 148 87 575
a 147 162 98 429
a 148 133 95 352
a 148 147 82 303
a 148 149 99 288
a 148 163 83 428
a 149 134 100 325
a 149 148 85 491
a 149 164 94 253
a 150 135 95 570
a 150 151 91 469
a 150 165 95 269
