c multi commodity flow
c
c problem vertices edges commodities
p mcf 1225 4760 32000
c
c origin destination demand
k 921 1091 96
k 1166 531 97
k 679 322 19
k 1174 226 35
k 999 503 13
k 1189 130 94
k 489 164 22
k 212 929 14
k 685 619 11
k 1082 1136 31
k 893 746 66
k 1128 486 46
k 717 1073 31
k 549 1174 11
k 853 582 56
k 352 421 40
k 223 202 98
k 276 927 90
k 997 300 71
k 267 928 26
k 167 751 34
k 726 933 20
k 1190 429 56
k 153 954 20
k 422 610 30
k 289 679 80
k 1167 931 82
k 280 527 60
k 1204 663 26
k 619 351 70
k 1178 1155 97
k 967 479 91
k 652 1111 96
k 683 58 95
k 259 713 84
k 1078 194 52
k 530 1192 45
k 834 564 38
k 115 1149 64
k 1060 787 13
k 797 640 64
k 868 343 86
k 1175 339 67
k 286 877 96
k 1147 621 22
k 1147 345 16
k 64 321 49
k 1154 927 29
k 76 51 45
k 541 261 59
k 757 884 42
k 1149 874 28
k 991 977 45
k 258 126 53
k 880 852 76
k 2 884 96
k 1221 524 56
k 1209 851 75
k 972 197 84
k 696 981 40
k 402 247 19
k 294 360 58
k 597 443 21
k 851 825 91
k 410 607 57
k 200 991 61
k 957 154 61
k 1008 275 28
k 251 363 83
k 134 332 53
k 1175 111 34
k 591 788 95
k 942 454 25
k 448 734 57
k 541 294 16
k 753 946 97
k 532 334 72
k 831 1120 62
k 10 803 82
k 801 849 40
k 416 1001 60
k 527 199 97
k 560 1094 45
k 30 111 64
k 634 255 91
k 1079 425 67
k 268 1087 72
k 274 508 60
k 421 548 78
k 454 156 76
k 1175 970 34
k 159 460 35
k 69 254 38
k 1104 121 56
k 867 812 97
k 859 993 26
k 760 983 74
k 1217 609 51
k 653 474 54
k 881 537 60
k 893 522 73
k 279 785 47
k 381 941 82
k 899 672 54
k 260 381 60
k 471 1070 90
k 730 211 68
k 1061 179 58
k 782 1178 29
k 703 360 20
k 186 780 97
k 767 721 16
k 487 148 41
k 336 69 14
k 185 1054 44
k 482 296 83
k 38 765 31
k 835 633 13
k 717 1179 76
k 902 233 29
k 129 984 17
k 335 17 26
k 1125 534 84
k 245 650 44
k 488 713 70
k 1222 688 27
k 622 230 16
k 912 349 29
k 851 1150 23
k 1212 284 75
k 1022 96 62
k 576 553 41
k 1161 1076 61
k 274 631 15
k 68 1062 29
k 977 293 61
k 147 702 25
k 13 533 15
k 1147 1182 98
k 926 16 57
k 552 1018 18
k 907 861 32
k 816 1111 69
k 648 1193 11
k 567 671 26
k 949 841 18
k 749 1159 75
k 1141 141 98
k 568 362 96
k 1116 588 18
k 640 828 59
k 1166 584 50
k 1033 868 26
k 371 1050 89
k 281 115 98
k 38 291 41
k 1139 999 21
k 314 472 19
k 450 1220 38
k 282 825 74
k 864 1208 16
k 996 587 95
k 176 160 72
k 1160 622 15
k 180 780 99
k 618 836 38
k 854 2 87
k 396 845 40
k 585 435 12
k 259 1176 60
k 86 894 53
k 25 170 55
k 144 743 83
k 632 326 55
k 400 1084 95
k 617 578 99
k 741 815 19
k 556 233 93
k 1035 845 74
k 605 308 98
k 334 1153 72
k 107 1161 28
k 403 615 22
k 923 975 100
k 1182 425 43
k 959 621 23
k 672 1207 17
k 1034 75 63
