c multi commodity flow
c planar300
c
c problem vertices edges commodities
p mcf 300 1680 3584
c
c origin destination demand
k 0 26 11
k 0 29 8
k 0 30 3
k 0 56 5
k 0 110 10
k 0 153 4
k 0 166 11
k 0 194 3
k 0 201 10
k 0 294 7
k 1 27 6
k 1 111 5
k 1 146 11
k 1 159 6
k 1 177 7
k 1 188 9
k 1 247 9
k 1 262 9
k 2 31 10
k 2 76 5
k 2 87 11
k 2 97 11
k 2 105 6
k 2 110 4
k 2 190 3
k 2 199 4
k 2 244 6
k 2 252 11
k 2 273 9
k 2 276 9
k 2 298 6
k 3 41 9
k 3 76 3
k 3 127 7
k 3 134 7
k 3 157 6
k 3 158 9
k 3 162 7
k 3 170 11
k 3 203 9
k 3 224 11
k 3 225 3
k 3 230 7
k 3 246 2
k 3 276 8
k 3 287 8
k 3 290 9
k 3 296 3
k 3 297 11
k 4 38 8
k 4 50 11
k 4 63 3
k 4 67 11
k 4 71 6
k 4 123 10
k 4 142 5
k 4 148 4
k 4 152 4
k 4 182 4
k 4 184 11
k 4 231 11
k 4 245 3
k 5 3 3
k 5 10 4
k 5 32 9
k 5 40 5
k 5 52 8
k 5 65 5
k 5 71 8
k 5 105 3
k 5 174 5
k 5 183 11
k 5 196 6
k 5 201 7
k 5 265 2
k 5 289 4
k 6 22 4
k 6 39 10
k 6 41 8
k 6 43 4
k 6 82 9
k 6 88 10
k 6 95 8
k 6 104 4
k 6 134 8
k 6 227 10
k 6 232 2
k 6 234 9
k 6 237 4
k 6 257 2
k 7 13 7
k 7 16 10
k 7 45 4
k 7 59 5
k 7 83 2
k 7 139 4
k 7 150 7
k 7 152 7
k 7 164 3
k 7 170 10
k 7 218 10
k 7 262 4
k 7 269 3
k 7 291 9
k 8 6 9
k 8 15 7
k 8 52 8
k 8 54 7
k 8 98 8
k 8 105 2
k 8 195 10
k 8 210 5
k 8 254 7
k 8 268 11
k 8 290 2
k 9 21 8
k 9 47 2
k 9 68 9
k 9 121 8
k 9 128 3
k 9 141 7
k 9 144 7
k 9 169 9
k 9 184 6
k 9 220 10
k 9 273 11
k 9 274 10
k 9 297 3
k 10 0 7
k 10 30 11
k 10 118 7
k 10 124 8
k 10 151 5
k 10 157 5
k 10 179 2
k 10 189 11
k 10 209 10
k 10 237 2
k 10 261 3
k 10 262 11
k 10 272 5
k 10 274 10
k 10 288 4
k 10 291 7
k 11 6 11
k 11 57 11
k 11 80 11
k 11 91 5
k 11 116 8
k 11 147 2
k 11 176 10
k 11 190 9
k 11 236 10
k 11 239 5
