c multi commodity flow
c
c problem vertices edges commodities
p mcf 800 4388 12756
c
c origin destination demand
k 0 54 8
k 0 94 2
k 0 128 6
k 0 223 4
k 0 286 2
k 0 296 8
k 0 324 2
k 0 330 7
k 0 372 4
k 0 380 7
k 0 395 8
k 0 409 5
k 0 416 6
k 0 516 9
k 0 566 7
k 0 689 3
k 0 692 5
k 0 696 2
k 0 718 4
k 0 732 5
k 0 751 4
k 0 766 5
k 1 66 4
k 1 103 3
k 1 119 9
k 1 135 9
k 1 185 2
k 1 193 8
k 1 236 6
k 1 263 8
k 1 299 4
k 1 435 8
k 1 533 5
k 1 534 6
k 1 537 3
k 1 554 3
k 1 740 6
k 2 46 2
k 2 47 5
k 2 90 7
k 2 295 7
k 2 409 9
k 2 413 8
k 2 492 3
k 2 640 8
k 2 764 2
k 3 43 2
k 3 96 5
k 3 102 3
k 3 151 5
k 3 152 5
k 3 163 2
k 3 166 9
k 3 173 9
k 3 347 9
k 3 392 8
k 3 497 3
k 3 544 8
k 3 613 6
k 3 625 4
k 3 654 4
k 3 666 2
k 3 702 6
k 3 707 8
k 3 724 2
k 3 760 8
k 3 787 3
k 4 34 8
k 4 47 5
k 4 87 8
k 4 157 6
k 4 213 5
k 4 224 3
k 4 282 8
k 4 358 4
k 4 382 2
k 4 396 9
k 4 407 4
k 4 422 4
k 4 457 4
k 4 489 2
k 4 534 2
k 4 539 6
k 4 548 9
k 4 573 8
k 4 576 5
k 4 608 5
k 4 688 5
k 4 732 7
k 4 797 7
k 5 90 3
k 5 203 3
k 5 222 3
k 5 227 6
k 5 266 7
k 5 361 3
k 5 425 6
k 5 453 8
k 5 455 3
k 5 491 2
k 5 507 2
k 5 520 5
k 5 620 5
k 5 646 7
k 5 655 6
k 5 675 6
k 5 742 2
k 6 21 4
k 6 66 9
k 6 117 4
k 6 151 6
k 6 180 8
k 6 198 5
k 6 222 7
k 6 236 7
k 6 242 6
k 6 287 9
k 6 290 5
k 6 296 9
k 6 446 4
k 6 638 8
k 6 768 6
k 7 10 5
k 7 24 4
k 7 79 9
k 7 167 2
k 7 224 7
k 7 283 4
k 7 412 4
k 7 439 3
k 7 539 6
k 7 555 8
k 7 556 4
k 7 570 6
k 7 595 7
k 7 660 6
k 7 709 4
k 7 720 3
k 7 737 9
k 7 785 2
k 8 31 9
k 8 35 4
k 8 53 6
k 8 59 6
k 8 65 7
k 8 78 5
k 8 109 5
k 8 120 3
k 8 213 9
k 8 223 8
k 8 247 5
k 8 265 3
k 8 296 4
k 8 343 3
k 8 375 6
k 8 434 7
k 8 520 3
k 8 529 6
k 8 536 8
k 8 566 3
k 8 623 5
k 8 642 6
k 8 645 5
k 8 730 9
k 9 93 4
k 9 183 5
k 9 297 2
k 9 452 5
k 9 494 3
k 9 510 6
k 9 589 4
k 9 688 7
k 9 769 7
k 10 5 4
k 10 31 7
k 10 55 4
k 10 121 4
k 10 196 2
k 10 285 4
k 10 296 3
k 10 406 5
k 10 474 3
k 10 498 3
k 10 543 3
k 10 589 9
k 10 727 3
k 10 741 5
k 10 746 4
k 10 756 4
k 10 779 9
k 11 56 2
k 11 197 5
k 11 204 3
k 11 272 9
k 11 284 5
k 11 464 3
k 11 502 4
