c multi commodity flow
c planar2500
c
c problem vertices edges commodities
p mcf 2500 12990 81430
c
c origin destination demand
k 0 38 14
k 0 47 12
k 0 51 11
k 0 143 3
k 0 161 9
k 0 194 15
k 0 203 2
k 0 246 12
k 0 261 2
k 0 299 10
k 0 346 3
k 0 441 7
k 0 463 15
k 0 596 6
k 0 712 5
k 0 720 6
k 0 724 2
k 0 799 10
k 0 808 4
k 0 918 14
k 0 1098 2
k 0 1102 9
k 0 1162 15
k 0 1305 4
k 0 1341 6
k 0 1380 9
k 0 1532 15
k 0 1606 15
k 0 1773 14
k 0 1809 14
k 0 1866 12
k 0 1989 15
k 0 2046 8
k 0 2271 4
k 0 2285 2
k 0 2365 7
k 0 2484 6
k 1 78 13
k 1 114 5
k 1 231 13
k 1 358 8
k 1 408 13
k 1 460 15
k 1 467 11
k 1 472 3
k 1 600 7
k 1 670 13
k 1 702 2
k 1 744 11
k 1 889 4
k 1 1002 14
k 1 1046 13
k 1 1073 14
k 1 1133 10
k 1 1143 5
k 1 1172 14
k 1 1210 15
k 1 1218 13
k 1 1347 4
k 1 1393 9
k 1 1524 2
k 1 1584 5
k 1 1819 7
k 1 1884 5
k 1 1967 11
k 1 1992 12
k 1 2081 2
k 1 2093 15
k 1 2181 4
k 1 2386 13
k 1 2409 11
k 1 2427 8
k 1 2443 5
k 1 2491 14
k 2 31 7
k 2 110 5
k 2 557 8
k 2 574 6
k 2 644 12
k 2 683 10
k 2 780 2
k 2 885 8
k 2 886 6
k 2 1138 14
k 2 1152 12
k 2 1184 12
k 2 1398 4
k 2 1404 15
k 2 1472 5
k 2 1522 14
k 2 1561 4
k 2 1853 11
k 2 1855 4
k 2 1954 7
k 2 1967 14
k 2 1970 12
k 2 2047 14
k 2 2212 12
k 2 2492 11
k 3 103 7
k 3 262 4
k 3 327 3
k 3 465 13
k 3 536 7
k 3 647 11
k 3 653 10
k 3 670 5
k 3 686 11
k 3 791 10
k 3 953 10
k 3 1044 4
k 3 1058 12
k 3 1264 13
k 3 1277 5
k 3 1289 2
k 3 1450 13
k 3 1552 9
k 3 1643 6
k 3 1653 11
k 3 1731 11
k 3 1752 5
k 3 1769 9
k 3 1891 15
k 3 1912 4
k 3 2098 9
k 3 2195 4
k 3 2219 5
k 3 2282 10
k 3 2316 7
k 3 2370 7
k 3 2379 10
k 3 2387 6
k 3 2399 15
k 3 2466 11
k 3 2475 8
k 3 2479 3
k 4 54 7
k 4 444 12
k 4 477 6
k 4 532 12
k 4 860 7
k 4 906 8
k 4 1038 13
k 4 1275 6
k 4 1323 12
k 4 1376 5
k 4 1482 11
k 4 1512 15
k 4 1564 5
k 4 1674 14
k 4 1820 4
k 4 1914 9
k 4 1960 3
k 4 2099 8
k 4 2123 14
k 4 2179 3
k 4 2180 10
k 4 2201 4
k 4 2237 12
k 4 2279 13
k 4 2342 15
k 4 2441 10
k 4 2490 6
k 4 2495 14
k 5 58 5
k 5 191 9
k 5 244 3
k 5 343 8
